
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, Strike Slip (SS)


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0761, 0.2551, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 0.2626, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 554, 0.0942, 0.6495, -, 7.9, 11.9, 0.1, "Chalfant Valley-02", 1986, "Long Valley Dam (L Abut)", 6.19, strike slip, 18.3, 21.12, 537.16, 0.125, 0.6687, RSN554_CHALFANT.A_A-LVL000.AT2, RSN554_CHALFANT.A_A-LVL090.AT2 , RSN554_CHALFANT.A_A-LVL-UP.AT2  
3, RotD50, 1836, 0.0973, 0.7538, -, 12.1, 18.0, 0.1, "Hector Mine", 1999, "Twentynine Palms", 7.13, strike slip, 42.06, 42.06, 635.01, 0.07, 0.7761, RSN1836_HECTOR_29P090.AT2, RSN1836_HECTOR_29P360.AT2 , RSN1836_HECTOR_29P-UP.AT2  
4, RotD50, 2743, 0.0975, 0.6003, -, 7.6, 14.2, 0.1, "Chi-Chi_ Taiwan-04", 1999, "CHY087", 6.2, strike slip, 38.32, 38.35, 505.2, 0.03, 0.6181, RSN2743_CHICHI.04_CHY087N.AT2, RSN2743_CHICHI.04_CHY087E.AT2 , RSN2743_CHICHI.04_CHY087V.AT2  
5, RotD50, 2788, 0.0712, 1.6553, -, 15.0, 26.3, 0.0, "Chi-Chi_ Taiwan-04", 1999, "HWA041", 6.2, strike slip, 49.62, 49.79, 484.97, 0.0425, 1.7042, RSN2788_CHICHI.04_HWA041N.AT2, RSN2788_CHICHI.04_HWA041E.AT2 , RSN2788_CHICHI.04_HWA041V.AT2  
6, RotD50, 2935, 0.0898, 0.8196, -, 5.9, 11.0, 0.1, "Chi-Chi_ Taiwan-04", 1999, "TTN051", 6.2, strike slip, 37.54, 37.57, 665.2, 0.06, 0.8439, RSN2935_CHICHI.04_TTN051N.AT2, RSN2935_CHICHI.04_TTN051E.AT2 , RSN2935_CHICHI.04_TTN051V.AT2  
7, RotD50, 3752, 0.065, 0.4384, -, 18.3, 27.3, 0.3, "Landers", 1992, "Forest Falls Post Office", 7.28, strike slip, 45.34, 45.34, 436.14, 0.125, 0.4513, RSN3752_LANDERS_FFP210.AT2, RSN3752_LANDERS_FFP300.AT2 , RSN3752_LANDERS_FFP-UP.AT2  
8, RotD50, 3759, 0.0586, 0.4243, -, 23.2, 33.4, 0.6, "Landers", 1992, "Whitewater Trout Farm", 7.28, strike slip, 27.05, 27.05, 425.02, 0.375, 0.4369, RSN3759_LANDERS_WWT180.AT2, RSN3759_LANDERS_WWT270.AT2 , RSN3759_LANDERS_WWT-UP.AT2  
9, RotD50, 3760, 0.0902, 0.3514, -, 17.7, 24.5, 0.6, "Landers", 1992, "Big Bear Lake - Civic Center", 7.28, strike slip, 45.48, 45.48, 430.36, 0.15, 0.3618, RSN3760_LANDERS_BLC360.AT2, RSN3760_LANDERS_BLC270.AT2 , RSN3760_LANDERS_BLC-UP.AT2  
10, RotD50, 3854, 0.0722, 0.5715, -, 6.7, 17.1, 0.1, "Chi-Chi_ Taiwan-04", 1999, "CHY010", 6.2, strike slip, 31.6, 31.63, 538.69, 0.05, 0.5884, RSN3854_CHICHI.04_CHY010N.AT2, RSN3854_CHICHI.04_CHY010W.AT2 , RSN3854_CHICHI.04_CHY010V.AT2  
11, RotD50, 3933, 0.0687, 0.2552, -, 5.4, 11.9, 0.6, "Tottori_ Japan", 2000, "SMN001", 6.61, strike slip, 14.42, 14.42, 331.0, 0.04125, 0.2628, RSN3933_TOTTORI_SMN001NS.AT2, RSN3933_TOTTORI_SMN001EW.AT2 , RSN3933_TOTTORI_SMN001UD.AT2  
12, RotD50, 3943, 0.0266, 0.2607, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 0.2684, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
13, RotD50, 4054, 0.0681, 0.4988, -, 9.5, 22.1, 0.2, "Bam_ Iran", 2003, "Mohammad Abad-e-Madkoon", 6.6, strike slip, 46.2, 46.22, 574.88, 0.0375, 0.5136, RSN4054_BAM_MOH-L.AT2, RSN4054_BAM_MOH-T.AT2 , RSN4054_BAM_MOH-V.AT2  
14, RotD50, 6948, 0.0538, 0.3601, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 0.3707, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-554 RotD50 pSa (g),RSN-1836 RotD50 pSa (g),RSN-2743 RotD50 pSa (g),RSN-2788 RotD50 pSa (g),RSN-2935 RotD50 pSa (g),RSN-3752 RotD50 pSa (g),RSN-3759 RotD50 pSa (g),RSN-3760 RotD50 pSa (g),RSN-3854 RotD50 pSa (g),RSN-3933 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-4054 RotD50 pSa (g),RSN-6948 RotD50 pSa (g)
0.01,0.06087,0.05162217,0.05871335,0.04538743,0.04406106,0.04890918,0.04826385,0.04494689,0.04427397,0.05897554,0.04738547,0.05728131,0.06430901,0.0467957,0.06169263,0.05789304,0.04843768,0.04948504
0.02,0.06215,0.05208975,0.05903762,0.04595954,0.0441448,0.05035222,0.04855151,0.04508073,0.04463138,0.06034835,0.0484113,0.0581362,0.06347781,0.04702823,0.06158348,0.05815078,0.04975182,0.04960787
0.022,0.06291269,0.05241995,0.0592386,0.04638616,0.044126,0.05052413,0.05018811,0.0452173,0.04472499,0.06027923,0.04847127,0.05782458,0.06361223,0.04750384,0.06186147,0.05834145,0.05059467,0.05060998
0.025,0.06395036,0.05333979,0.06026158,0.04721306,0.04423152,0.0538636,0.05213208,0.04533992,0.0449032,0.06114899,0.0490721,0.06000864,0.0639454,0.04878171,0.06229531,0.05854856,0.0510743,0.05141178
0.029,0.06517662,0.05443325,0.06146566,0.04820543,0.04493554,0.05591507,0.05185273,0.04570383,0.04542256,0.06301654,0.04998391,0.06104371,0.06422772,0.0500443,0.06290397,0.05986202,0.05291063,0.05424298
0.03,0.06546,0.05470385,0.0619046,0.04834069,0.04528554,0.05502353,0.05216864,0.04573191,0.04534607,0.06391217,0.05038458,0.06170761,0.06447055,0.05082514,0.06305278,0.06112197,0.05310487,0.05371852
0.032,0.06676061,0.05640578,0.06435919,0.04943524,0.04638476,0.05511305,0.05378931,0.04628581,0.04497133,0.06787703,0.05147989,0.06446066,0.06450523,0.05618119,0.06287932,0.0663466,0.05480621,0.05460051
0.035,0.06860948,0.05631043,0.06487492,0.04887658,0.04734724,0.05522265,0.0537157,0.04615879,0.04593102,0.0663373,0.04965334,0.06758953,0.06607548,0.0517929,0.06217749,0.0687052,0.05494035,0.05269901
0.036,0.06920121,0.05652045,0.0650376,0.04911868,0.04701262,0.05502197,0.05528322,0.04643061,0.04634021,0.06347915,0.05008702,0.06791936,0.06685499,0.0531235,0.06309112,0.06977164,0.05511335,0.05175753
0.04,0.07145991,0.05889293,0.0680011,0.05100473,0.04847735,0.05604709,0.05543802,0.04673893,0.04747117,0.07034622,0.05640248,0.06783242,0.06732901,0.05611477,0.06634262,0.07255978,0.06166844,0.05173276
0.042,0.0725307,0.05911874,0.0680858,0.05133267,0.04865722,0.05768137,0.05647752,0.04739612,0.0478111,0.0716003,0.05747364,0.06788495,0.06710776,0.055025,0.06672804,0.07214646,0.05950857,0.05216436
0.044,0.0735666,0.05989441,0.06917777,0.05185683,0.05112163,0.05774787,0.05881659,0.04795856,0.04825028,0.07076653,0.05473676,0.0677153,0.06875504,0.05219142,0.07116603,0.07192931,0.06431313,0.05305323
0.045,0.07407231,0.0604776,0.07048348,0.05189216,0.0503065,0.06004683,0.05936339,0.04807946,0.0483789,0.07353446,0.05263723,0.06808095,0.06906677,0.05279765,0.07364424,0.07272227,0.06377065,0.0542571
0.046,0.07457027,0.06149188,0.07226045,0.05232809,0.05165035,0.06473009,0.05918854,0.04837797,0.048352,0.07746744,0.05134904,0.06867182,0.06912971,0.05387425,0.07460753,0.07488849,0.06343148,0.05516757
0.048,0.07554404,0.06314371,0.07474782,0.05334107,0.05498173,0.07515203,0.05759464,0.04906203,0.04851253,0.08284106,0.05316485,0.06972798,0.0667471,0.05421224,0.07518306,0.07484308,0.06416009,0.05782953
0.05,0.07649,0.06521724,0.07704512,0.05520516,0.05700264,0.07762601,0.05999533,0.05108054,0.04860857,0.08905114,0.0563412,0.07130856,0.06699032,0.05797518,0.07438128,0.0750343,0.06553703,0.06210924
0.055,0.08103704,0.0696725,0.08421273,0.0576428,0.05982864,0.07003515,0.07200818,0.05113618,0.05125431,0.10497561,0.05777769,0.06892205,0.07435756,0.069102,0.0775872,0.08285642,0.06877958,0.06679448
0.06,0.08542379,0.07507392,0.09642479,0.05845067,0.06513846,0.07395963,0.07680811,0.05687065,0.0569194,0.13617722,0.05803611,0.07627924,0.07934491,0.06612952,0.07669547,0.08189961,0.07394755,0.07282896
0.065,0.0896686,0.07851913,0.10384952,0.05936719,0.07562284,0.07186087,0.09096472,0.05298967,0.06453746,0.1492762,0.06072656,0.07795665,0.07455288,0.06474181,0.09001336,0.07439997,0.07603579,0.07558904
0.067,0.09133025,0.08132722,0.1065003,0.06210421,0.0752011,0.07461406,0.0988729,0.0541113,0.06447671,0.1493934,0.06269462,0.08087879,0.0793914,0.071237,0.09497537,0.07725353,0.07630906,0.07917188
0.07,0.09378651,0.0837049,0.10474187,0.06689311,0.07489936,0.08558832,0.10364037,0.05815379,0.06662961,0.13726069,0.06635322,0.0868379,0.08566685,0.07516385,0.09558193,0.07918391,0.07425978,0.08264896
0.075,0.09779,0.08738137,0.10764256,0.07093387,0.09380798,0.10089578,0.09964904,0.06155759,0.06560987,0.13091185,0.07688637,0.1032307,0.09123142,0.07097015,0.09999335,0.07788637,0.07014107,0.0805676
0.08,0.10140988,0.09098805,0.11369006,0.07281926,0.09208322,0.09724207,0.11052351,0.06803047,0.07433502,0.14642233,0.07179396,0.10177288,0.09142994,0.0880848,0.10461659,0.08293115,0.0703175,0.07424931
0.085,0.10493219,0.09927122,0.12774725,0.07714276,0.09280742,0.11632698,0.11481788,0.07832732,0.08406589,0.17280666,0.08266282,0.11385925,0.09000756,0.08621323,0.11626923,0.08332307,0.07555317,0.08275659
0.09,0.10836509,0.10512495,0.13246539,0.08342749,0.11300773,0.11755354,0.11514979,0.08925616,0.10063493,0.17750247,0.09139949,0.11700047,0.09646852,0.09402309,0.11309594,0.08966061,0.06869184,0.08830467
0.095,0.11171564,0.10500744,0.1238895,0.0890032,0.11408122,0.115711,0.11158527,0.09414977,0.11842676,0.14324119,0.0911892,0.11819992,0.1012422,0.10465769,0.10945547,0.09452066,0.06897239,0.08467138
0.1,0.11499,0.10717435,0.12322288,0.09321597,0.11631304,0.12771659,0.11249965,0.09431828,0.11259886,0.12676232,0.10022593,0.1245702,0.10285519,0.10494072,0.11768498,0.09587496,0.07359398,0.09048613
0.11,0.11932387,0.11276458,0.12863947,0.09884874,0.11436375,0.11730459,0.11241764,0.08912648,0.10949326,0.13584642,0.10549006,0.14527991,0.11232346,0.09118274,0.12677791,0.11094488,0.09983389,0.10831906
0.12,0.12342285,0.11902,0.14281811,0.09918742,0.11744833,0.11286493,0.11030226,0.10283919,0.10684229,0.15358047,0.10784103,0.15034933,0.14477401,0.08841898,0.15713078,0.10383862,0.11164719,0.09840255
0.13,0.12731778,0.12141566,0.1493388,0.09871354,0.11323482,0.11909771,0.1030395,0.10225301,0.10194938,0.14835649,0.11110255,0.15230341,0.16667527,0.08783681,0.16387598,0.0997323,0.12885708,0.1015049
0.133,0.1284503,0.12380396,0.15301622,0.1001686,0.11216057,0.12269323,0.10685368,0.10998518,0.10225851,0.13700816,0.11410332,0.15272235,0.18214619,0.09338141,0.1616055,0.1027232,0.14200921,0.09360489
0.14,0.13103342,0.12945369,0.16054743,0.10438197,0.10843359,0.12417004,0.11967135,0.1240097,0.10728533,0.12814659,0.13281629,0.15109093,0.1929473,0.10188336,0.16440524,0.10686189,0.16237206,0.088258
0.15,0.13459,0.13119666,0.15409428,0.11170151,0.11869092,0.13947848,0.14332747,0.12415204,0.10225129,0.12960594,0.13230335,0.12667725,0.16560638,0.11375095,0.17703312,0.11762878,0.14601967,0.1002276
0.16,0.13529475,0.1308818,0.15075351,0.11362951,0.11272489,0.14186088,0.13032511,0.12512587,0.0994095,0.13805983,0.11127316,0.12568542,0.15761127,0.12989627,0.17338948,0.13978997,0.13215979,0.11503381
