
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, Strike Slip (SS)


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0368, 2.6493, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 2.7115, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 850, 0.0425, 3.1141, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 3.1872, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
3, RotD50, 1787, 0.0556, 1.6826, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 1.7221, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
4, RotD50, 1794, 0.0821, 3.2442, -, 7.4, 14.6, 0.6, "Hector Mine", 1999, "Joshua Tree", 7.13, strike slip, 31.06, 31.06, 379.32, 0.0169, 3.3203, RSN1794_HECTOR_JOS090.AT2, RSN1794_HECTOR_JOS360.AT2 , RSN1794_HECTOR_JOS-UP.AT2  
5, RotD50, 2709, 0.0875, 3.8305, -, 4.3, 12.1, 0.3, "Chi-Chi_ Taiwan-04", 1999, "CHY035", 6.2, strike slip, 25.01, 25.06, 573.04, 0.05, 3.9205, RSN2709_CHICHI.04_CHY035N.AT2, RSN2709_CHICHI.04_CHY035E.AT2 , RSN2709_CHICHI.04_CHY035V.AT2  
6, RotD50, 2734, 0.0578, 1.4499, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 1.4839, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
7, RotD50, 2739, 0.0862, 3.6399, -, 7.0, 11.9, 0.3, "Chi-Chi_ Taiwan-04", 1999, "CHY080", 6.2, strike slip, 12.44, 12.53, 496.21, 0.04, 3.7253, RSN2739_CHICHI.04_CHY080N.AT2, RSN2739_CHICHI.04_CHY080E.AT2 , RSN2739_CHICHI.04_CHY080V.AT2  
8, RotD50, 3752, 0.0638, 4.5534, -, 18.3, 27.3, 0.3, "Landers", 1992, "Forest Falls Post Office", 7.28, strike slip, 45.34, 45.34, 436.14, 0.125, 4.6603, RSN3752_LANDERS_FFP210.AT2, RSN3752_LANDERS_FFP300.AT2 , RSN3752_LANDERS_FFP-UP.AT2  
9, RotD50, 3756, 0.0712, 2.9714, -, 23.0, 32.9, 1.0, "Landers", 1992, "Morongo Valley Hall (GEOS #58)", 7.28, strike slip, 40.67, 40.67, 368.2, 0.05, 3.0412, RSN3756_LANDERS_MVP000.AT2, RSN3756_LANDERS_MVP090.AT2 , RSN3756_LANDERS_MVP-UP.AT2  
10, RotD50, 3759, 0.0567, 4.4075, -, 23.2, 33.4, 0.6, "Landers", 1992, "Whitewater Trout Farm", 7.28, strike slip, 27.05, 27.05, 425.02, 0.375, 4.511, RSN3759_LANDERS_WWT180.AT2, RSN3759_LANDERS_WWT270.AT2 , RSN3759_LANDERS_WWT-UP.AT2  
11, RotD50, 3943, 0.0394, 2.7074, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 2.771, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
12, RotD50, 6891, 0.067, 4.4004, -, 15.4, 28.9, 0.4, "Darfield_ New Zealand", 2010, "CSHS", 7.0, strike slip, 43.6, 43.6, 638.39, 0.0375, 4.5037, RSN6891_DARFIELD_CSHSN76W.AT2, RSN6891_DARFIELD_CSHSS14W.AT2 , RSN6891_DARFIELD_CSHSUP.AT2  
13, RotD50, 6948, 0.0363, 3.7402, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 3.828, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  
14, RotD50, 6971, 0.0675, 2.8769, -, 16.1, 22.7, 1.0, "Darfield_ New Zealand", 2010, "SPFS", 7.0, strike slip, 29.86, 29.86, 389.54, 0.0375, 2.9444, RSN6971_DARFIELD_SPFSN17E.AT2, RSN6971_DARFIELD_SPFSN73W.AT2 , RSN6971_DARFIELD_SPFSUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-1794 RotD50 pSa (g),RSN-2709 RotD50 pSa (g),RSN-2734 RotD50 pSa (g),RSN-2739 RotD50 pSa (g),RSN-3752 RotD50 pSa (g),RSN-3756 RotD50 pSa (g),RSN-3759 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-6891 RotD50 pSa (g),RSN-6948 RotD50 pSa (g),RSN-6971 RotD50 pSa (g)
0.01,0.5925,0.49714381,0.54582558,0.45280393,0.45766275,0.48389968,0.53102996,0.47539049,0.47451497,0.47177857,0.44223506,0.49219346,0.48409468,0.59498163,0.60133572,0.47610992,0.5140017,0.46078475
0.02,0.59838,0.50029292,0.54964173,0.45537482,0.45853253,0.48852508,0.52696699,0.47671444,0.47731853,0.4748725,0.44704625,0.50284877,0.48835747,0.60386143,0.60401281,0.47836645,0.51527749,0.46140011
0.022,0.60172266,0.50247985,0.55124361,0.45802979,0.45833727,0.48918684,0.52906216,0.47698079,0.47799921,0.47661108,0.45026318,0.50347167,0.49480544,0.60062456,0.60599329,0.48136048,0.52568647,0.4643354
0.025,0.60623528,0.50615217,0.5596375,0.4577785,0.4594333,0.49298451,0.53403137,0.47852178,0.4801581,0.47559426,0.44970082,0.5097125,0.49672319,0.62331045,0.6081446,0.48043684,0.53401477,0.46336387
0.029,0.6115171,0.51392155,0.57203657,0.46171061,0.46674602,0.48834228,0.53810073,0.47907361,0.48251541,0.48089089,0.45153132,0.51918347,0.52021134,0.63406169,0.62178754,0.48152858,0.56342248,0.4675063
0.03,0.61273,0.51615881,0.576603,0.46205087,0.47038144,0.48703342,0.53741053,0.47920338,0.48342477,0.48041604,0.45619619,0.52334524,0.52468689,0.64095768,0.63487465,0.48326762,0.55797488,0.4670506
0.032,0.61790183,0.52696399,0.60004138,0.46278649,0.48179904,0.48756375,0.53813052,0.48116676,0.48975319,0.48602352,0.46292924,0.53472225,0.52746249,0.6695536,0.6891429,0.48689179,0.56713613,0.47522066
0.035,0.62515541,0.53143893,0.61315203,0.46061551,0.49179633,0.48859889,0.54370244,0.48446155,0.50043078,0.48019508,0.47059556,0.51574979,0.53838868,0.70205326,0.71364176,0.48196378,0.54738525,0.48118184
0.036,0.62745322,0.53146991,0.61620952,0.45838348,0.48832066,0.4891395,0.54429892,0.48314798,0.49480297,0.48334861,0.47121944,0.52025442,0.53795455,0.70547921,0.72471888,0.48191229,0.53760612,0.47837516
0.04,0.63612227,0.53960871,0.63076334,0.46162728,0.50353476,0.48213023,0.5538283,0.48428182,0.482954,0.48768163,0.47104654,0.58585323,0.53442778,0.70457612,0.7536793,0.48846802,0.53734879,0.48471149
0.042,0.6401772,0.54074217,0.63168126,0.46289499,0.50540308,0.48099918,0.55837519,0.48257084,0.48723691,0.489018,0.47374624,0.59697935,0.5322218,0.70512176,0.74938615,0.49032543,0.5418318,0.47717463
0.044,0.64406752,0.54175144,0.62909812,0.46653234,0.53100101,0.48901431,0.55722143,0.47952358,0.49982173,0.48352027,0.47637897,0.56855139,0.52307073,0.70335964,0.7471306,0.4910889,0.55106448,0.48377305
0.045,0.64595532,0.54234071,0.63155791,0.4657268,0.52253424,0.49151869,0.56109914,0.4803489,0.50392192,0.48385926,0.47727838,0.54674356,0.52160286,0.70715759,0.7553671,0.49387876,0.5635691,0.48389043
0.046,0.64780697,0.54661816,0.64163294,0.46567343,0.53649282,0.49193474,0.57258606,0.48678049,0.50786468,0.48381576,0.47388019,0.53336307,0.522617,0.71329505,0.77786762,0.49798874,0.5730262,0.48114186
0.048,0.65140759,0.55912292,0.65479307,0.47743089,0.57109586,0.49315703,0.60463381,0.49259342,0.5173506,0.48395104,0.49943361,0.55222398,0.52959121,0.72426534,0.77739599,0.50307561,0.60067601,0.47827734
0.05,0.65488,0.57344841,0.67283471,0.48874274,0.59208712,0.50184731,0.63247019,0.49198643,0.5209647,0.49147934,0.51804433,0.58521667,0.54018609,0.74068287,0.77938215,0.50480541,0.64512943,0.48399572
0.055,0.68176259,0.58394541,0.69981037,0.48726377,0.62144076,0.51813604,0.61194655,0.48867736,0.5142992,0.52809752,0.49074194,0.60013756,0.54254361,0.71589416,0.86063061,0.50217177,0.69379507,0.48672358
0.06,0.70726691,0.60618966,0.73062621,0.5029465,0.67659394,0.5124319,0.59052019,0.50160057,0.56220952,0.57096969,0.51234755,0.60282176,0.55529039,0.79231332,0.85069223,0.52078329,0.75647524,0.48160561
0.065,0.73157032,0.63337941,0.74812039,0.53623653,0.78549535,0.55372394,0.64850383,0.49782174,0.61147048,0.5957857,0.54675499,0.63076752,0.55386559,0.80973665,0.77279338,0.53872946,0.78514426,0.5367189
0.067,0.74098837,0.64931439,0.77156395,0.54643452,0.78111467,0.56396847,0.6671433,0.49834535,0.62237714,0.62537507,0.55630604,0.6512098,0.56963489,0.84008897,0.80243336,0.54069821,0.82235926,0.54934698
0.07,0.75481567,0.66407477,0.8018427,0.54997733,0.7779805,0.55594742,0.68931269,0.50006931,0.61763686,0.64068874,0.58718716,0.68921164,0.56919602,0.90198627,0.82248421,0.52982964,0.85847577,0.55704062
0.075,0.77712,0.71259776,0.88899741,0.57120028,0.9743846,0.61261358,0.62123617,0.52340926,0.60992984,0.68099111,0.68569218,0.79861964,0.59419037,1.0722585,0.80900669,0.55198701,0.83685666,0.60519301
0.08,0.80264002,0.73481134,0.89098762,0.60601033,0.9564695,0.6816534,0.62162014,0.53362065,0.61954064,0.72533942,0.82312974,0.74572469,0.63006843,1.05711606,0.86140683,0.62239836,0.77122846,0.63804241
0.085,0.82737525,0.78497573,0.96976857,0.63539582,0.96399177,0.73280288,0.7051747,0.5437412,0.61242352,0.74863029,0.94861284,0.85861964,0.61286988,1.18265736,0.8654777,0.67921113,0.85959372,0.67585356
0.09,0.85139398,0.83989231,1.04747324,0.67344831,1.17381267,0.75348472,0.75414618,0.56324295,0.66490327,0.8017209,0.9463805,0.94936754,0.6331171,1.21528527,0.93130581,0.72018331,0.91722162,0.73432043
0.095,0.87475515,0.85255091,1.05878691,0.68648662,1.18496295,0.83161061,0.73756183,0.55431302,0.62677689,0.84700599,0.86909999,0.94718329,0.65565796,1.22774398,0.9817872,0.77426255,0.87948262,0.81826383
0.1,0.89751,0.88250336,1.10362782,0.70568372,1.20814495,0.8443371,0.70989843,0.56809365,0.68164421,0.90260478,0.87758455,1.04104796,0.66314563,1.29391216,0.99585439,0.82629868,0.93988051,0.80260006
0.11,0.97194108,0.95653641,1.2271244,0.74561462,1.18789762,0.88910357,0.77205675,0.60167613,0.66626043,1.00916327,1.03010142,1.09572646,0.75937225,1.50902419,1.1523858,0.83643589,1.12511138,0.75719452
0.12,1.04526848,0.96424675,1.22758368,0.75739993,1.21993716,0.8518465,0.87354797,0.62462029,0.71267645,1.10945399,0.86616479,1.1201461,0.80336346,1.56168027,1.07857298,0.86283965,1.02210847,0.79249645
0.13,1.11759877,0.99648256,1.24087252,0.80022523,1.17617138,0.83589658,0.9082337,0.65403756,0.86045704,1.15666643,0.98975078,1.15402351,0.88111857,1.58197729,1.03592062,0.80970078,1.05433256,0.85246909
0.133,1.13911711,0.99903221,1.24394487,0.8023389,1.16501315,0.85627665,0.89128507,0.65268052,0.84352419,1.10300716,1.06321924,1.18519259,0.93949618,1.58632883,1.06698714,0.76769758,0.97227515,0.89346754
0.14,1.18902088,1.01784352,1.28413832,0.8067709,1.12630098,0.86506783,0.81940991,0.65913806,0.86509504,1.08080735,1.12141585,1.37956435,1.06465606,1.56938328,1.10997575,0.73558077,0.91673689,0.93667716
0.15,1.25961,1.07509553,1.29289086,0.89398915,1.23284396,0.96308457,0.9862076,0.7141581,0.86984681,1.18603439,1.25635391,1.37423647,1.17375336,1.31579809,1.22181152,0.77525044,1.04106531,0.94089294
