
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-16


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.0
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 164,848,850,864,1111,1787,1794,2709,2734,3753,3756,3943,6948,6971
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.038, 2.9644, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 3.0456, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 848, 0.0905, 1.7304, -, 6.1, 10.6, 2.2, "Landers", 1992, "Coolwater", 7.28, strike slip, 19.74, 19.74, 352.98, 0.1, 1.7778, RSN848_LANDERS_CLW-LN.AT2, RSN848_LANDERS_CLW-TR.AT2 , RSN848_LANDERS_CLW-UP.AT2  
3, RotD50, 850, 0.0411, 3.4845, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 3.58, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
4, RotD50, 864, 0.1092, 2.043, -, 21.7, 27.1, 2.3, "Landers", 1992, "Joshua Tree", 7.28, strike slip, 11.03, 11.03, 379.32, 0.07, 2.099, RSN864_LANDERS_JOS000.AT2, RSN864_LANDERS_JOS090.AT2 , RSN864_LANDERS_JOS-UP.AT2  
5, RotD50, 1111, 0.0835, 1.4649, -, 4.5, 11.2, 3.4, "Kobe_ Japan", 1995, "Nishi-Akashi", 6.9, strike slip, 7.08, 7.08, 609.0, 0.125, 1.5051, RSN1111_KOBE_NIS000.AT2, RSN1111_KOBE_NIS090.AT2 , RSN1111_KOBE_NIS-UP.AT2  
6, RotD50, 1787, 0.0567, 1.8827, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 1.9343, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
7, RotD50, 1794, 0.0741, 3.63, -, 7.4, 14.6, 0.6, "Hector Mine", 1999, "Joshua Tree", 7.13, strike slip, 31.06, 31.06, 379.32, 0.0169, 3.7295, RSN1794_HECTOR_JOS090.AT2, RSN1794_HECTOR_JOS360.AT2 , RSN1794_HECTOR_JOS-UP.AT2  
8, RotD50, 2709, 0.0865, 4.286, -, 4.3, 12.1, 0.3, "Chi-Chi_ Taiwan-04", 1999, "CHY035", 6.2, strike slip, 25.01, 25.06, 573.04, 0.05, 4.4035, RSN2709_CHICHI.04_CHY035N.AT2, RSN2709_CHICHI.04_CHY035E.AT2 , RSN2709_CHICHI.04_CHY035V.AT2  
9, RotD50, 2734, 0.0501, 1.6223, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 1.6668, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
10, RotD50, 3753, 0.0976, 3.2269, -, 22.7, 29.6, 1.2, "Landers", 1992, "Fun Valley", 7.28, strike slip, 25.02, 25.02, 388.63, 0.0625, 3.3154, RSN3753_LANDERS_FVR045.AT2, RSN3753_LANDERS_FVR135.AT2 , RSN3753_LANDERS_FVR-UP.AT2  
11, RotD50, 3756, 0.0624, 3.3248, -, 23.0, 32.9, 1.0, "Landers", 1992, "Morongo Valley Hall (GEOS #58)", 7.28, strike slip, 40.67, 40.67, 368.2, 0.05, 3.4159, RSN3756_LANDERS_MVP000.AT2, RSN3756_LANDERS_MVP090.AT2 , RSN3756_LANDERS_MVP-UP.AT2  
12, RotD50, 3943, 0.0463, 3.0294, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 3.1124, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
13, RotD50, 6948, 0.0413, 4.185, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 4.2997, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  
14, RotD50, 6971, 0.0584, 3.219, -, 16.1, 22.7, 1.0, "Darfield_ New Zealand", 2010, "SPFS", 7.0, strike slip, 29.86, 29.86, 389.54, 0.0375, 3.3072, RSN6971_DARFIELD_SPFSN17E.AT2, RSN6971_DARFIELD_SPFSN73W.AT2 , RSN6971_DARFIELD_SPFSUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-848 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-864 RotD50 pSa (g),RSN-1111 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-1794 RotD50 pSa (g),RSN-2709 RotD50 pSa (g),RSN-2734 RotD50 pSa (g),RSN-3753 RotD50 pSa (g),RSN-3756 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-6948 RotD50 pSa (g),RSN-6971 RotD50 pSa (g)
0.01,0.6646,0.57817486,0.64322524,0.51970313,0.51208735,0.60802297,0.54144433,0.56364513,0.69936953,0.59417928,0.53192325,0.53094361,0.5278818,0.67973592,0.54166253,0.67284571,0.57512605,0.51558061
0.02,0.67017,0.58012994,0.64421289,0.52242163,0.51306056,0.61311231,0.54661979,0.56756929,0.69165995,0.58963315,0.53340464,0.53408057,0.53134367,0.68623915,0.54643224,0.67584115,0.57655355,0.51626916
0.022,0.67337012,0.58223487,0.64570818,0.525001,0.51284209,0.61325489,0.54736023,0.56783304,0.69225324,0.59197747,0.53370266,0.5348422,0.53328899,0.68447531,0.553647,0.67805714,0.58820035,0.5195535
0.025,0.67768625,0.58538186,0.6500941,0.52711127,0.51406846,0.62892818,0.55160952,0.56610631,0.69330491,0.59753762,0.5354269,0.53725781,0.53215126,0.68671254,0.55579281,0.68046429,0.59751905,0.51846644
0.029,0.68273217,0.59270348,0.65895822,0.53311031,0.52225078,0.63079438,0.54641525,0.56611612,0.69460283,0.6020909,0.53604436,0.53989545,0.53807774,0.69023183,0.58207413,0.69572963,0.63042388,0.52310148
0.03,0.68389,0.59370122,0.66128265,0.53302644,0.52631853,0.62932253,0.54495074,0.5662771,0.69479488,0.60131862,0.53618956,0.54091296,0.53754643,0.68981072,0.5870819,0.71037303,0.62432845,0.52259159
0.032,0.68880344,0.60216441,0.67783975,0.53493762,0.53909389,0.63160817,0.54554414,0.5668473,0.69555913,0.60212423,0.53838642,0.54799393,0.54382075,0.69172912,0.59018757,0.77109479,0.63457915,0.53173322
0.035,0.69568438,0.60567636,0.68459649,0.53585413,0.55028004,0.62542679,0.54670237,0.56714353,0.69681398,0.60835875,0.54207302,0.55994129,0.53729919,0.6936272,0.60241309,0.79850702,0.61247952,0.5384033
0.036,0.69786167,0.60470654,0.68649292,0.53266391,0.54639105,0.62481511,0.54730727,0.5672892,0.69828066,0.60902616,0.54060325,0.55364423,0.54082773,0.68807786,0.60192734,0.81090142,0.60153747,0.53526285
0.04,0.70606542,0.6102885,0.70093086,0.53136775,0.56341439,0.64030255,0.53946447,0.56463189,0.7066581,0.61968877,0.54187192,0.5403862,0.54567603,0.69705549,0.59798117,0.84330576,0.60124954,0.54235269
0.042,0.709897,0.61171947,0.70253837,0.53264095,0.56550489,0.65257187,0.53819892,0.5668473,0.71293851,0.62477636,0.53995747,0.54517843,0.54717132,0.69672731,0.59551286,0.83850208,0.60626566,0.53391956
0.044,0.71356967,0.61753254,0.70792499,0.53868199,0.59414689,0.66343665,0.5471672,0.56996141,0.72258574,0.6234854,0.53654784,0.55925981,0.54101982,0.70869405,0.58527356,0.8359783,0.61659628,0.54130265
0.045,0.71535065,0.61968592,0.71258505,0.53889798,0.58467327,0.6589268,0.54996939,0.56997388,0.7264524,0.62782425,0.5374713,0.5638476,0.54139911,0.71421759,0.58363112,0.84519428,0.63058793,0.54143399
0.046,0.7170968,0.62577453,0.72423755,0.54069795,0.60029178,0.66148203,0.55043491,0.56937794,0.72952053,0.64067718,0.54466773,0.56825923,0.54135044,0.72011706,0.58476587,0.87037053,0.64116965,0.53835856
0.048,0.72049013,0.6366132,0.73655584,0.55023169,0.63900977,0.66788905,0.55180256,0.56920081,0.7351618,0.676536,0.55117192,0.5788732,0.54150181,0.73176465,0.59256944,0.86984281,0.67210755,0.5351534
0.05,0.72376,0.64766517,0.74992523,0.55934933,0.66249727,0.66590519,0.56152627,0.56997674,0.74078196,0.70768264,0.55049275,0.58291708,0.54992537,0.73571861,0.60442424,0.87206516,0.7218473,0.5415518
0.055,0.75176308,0.66515579,0.78732152,0.56194606,0.6953416,0.69383032,0.57975204,0.57231247,0.74433454,0.68471836,0.54679018,0.57545893,0.59089813,0.73780256,0.60706212,0.96297558,0.77630018,0.54460405
0.06,0.7782729,0.68272963,0.80612971,0.57821929,0.75705352,0.72200635,0.57336957,0.57830147,0.7366147,0.66074401,0.56125019,0.62906667,0.63886859,0.74244804,0.62132472,0.95185534,0.84643419,0.53887746
0.065,0.80348433,0.7045958,0.81877672,0.60633777,0.87890534,0.69364482,0.619572,0.57644849,0.76698705,0.72562297,0.55702199,0.68418568,0.66663569,0.73183661,0.6197305,0.86469287,0.87851249,0.60054475
0.067,0.81324148,0.7164091,0.83758497,0.6127641,0.87400371,0.67237086,0.6310348,0.57459939,0.77218737,0.74647903,0.55760787,0.69638934,0.69974378,0.73525102,0.63737506,0.89785759,0.92015305,0.61467453
0.07,0.827554,0.72754304,0.85573611,0.61855386,0.87049683,0.71942862,0.6220599,0.5860033,0.75406103,0.77128477,0.55953684,0.69108536,0.71687854,0.75374294,0.63688399,0.92029286,0.96056448,0.6232831
0.075,0.85061,0.75702032,0.90657373,0.63213806,1.09025703,0.71272606,0.68546471,0.58487087,0.80887499,0.69511268,0.58565234,0.68246183,0.76197361,0.8072909,0.66485064,0.90521261,0.93637446,0.6771617
0.08,0.87777281,0.77573155,0.91556837,0.65725232,1.07021148,0.76663485,0.76271465,0.57177824,0.83139009,0.69554231,0.59707805,0.69321552,0.81159575,0.81438208,0.70499527,0.9638441,0.86294185,0.7139175
0.085,0.90407794,0.81004903,0.95723218,0.68549663,1.07862829,0.81606217,0.81994676,0.5842827,0.85756427,0.78903307,0.60840212,0.68525205,0.83765633,0.89166765,0.68575149,0.96839907,0.96181537,0.75622509
0.09,0.92960066,0.86419133,1.06092366,0.70394005,1.31340079,0.81989613,0.84308804,0.58740458,0.91327505,0.84382817,0.630223,0.74397262,0.89706041,0.90812692,0.70840648,1.04205536,1.02629631,0.82164477
0.095,0.95440587,0.88438483,1.09266425,0.71580683,1.32587705,0.81966755,0.93050456,0.58517998,0.92616636,0.82527163,0.62023113,0.7013123,0.94773073,0.96763857,0.73362787,1.09853993,0.98406943,0.91557059
0.1,0.97855,0.89819439,1.11014906,0.72670706,1.35181581,0.82058049,0.94474446,0.6044655,0.90870611,0.79431853,0.63565054,0.76270436,1.00994125,0.9358146,0.74200596,1.11427997,1.05164976,0.89804412
0.11,1.06368485,0.96305048,1.21062791,0.76610346,1.32916071,0.76258856,0.99483449,0.66231532,0.95607711,0.86386864,0.6732266,0.74549116,1.12917152,1.12072403,0.84967571,1.28942587,1.25890802,0.84723901
0.12,1.14785843,0.97960755,1.20039337,0.79943039,1.36501034,0.81867155,0.95314687,0.66310595,1.02514035,0.97742905,0.69889924,0.79742692,1.24138868,1.03815791,0.89889829,1.20683534,1.14365615,0.886739
0.13,1.23116059,1.04452898,1.23842646,0.88098956,1.31603999,1.02646123,0.93530021,0.71170291,1.14947271,1.01623955,0.73181477,0.96278136,1.29421555,1.2008109,0.98589993,1.15911082,1.17971227,0.9538435
0.133,1.25599287,1.04678937,1.22592576,0.893829,1.30355485,1.06625527,0.95810385,0.7378984,1.11972383,0.99727541,0.73029635,0.94383489,1.2341752,1.2312276,1.05121972,1.19387172,1.08789672,0.99971742
0.14,1.31366651,1.04957521,1.23184303,0.89427637,1.26023908,0.99309411,0.96794046,0.75756984,1.10871818,0.91685297,0.73752182,0.96797091,1.20933542,1.26775481,1.19126344,1.24197248,1.02575393,1.04806547
0.15,1.39544,1.11650146,1.34456634,0.92712088,1.37945199,0.90104015,1.07761321,0.71104548,1.12604877,1.103486,0.79908476,0.97328775,1.32707591,1.33479456,1.31333443,1.3671076,1.16486731,1.05278258
