
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-16


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.0
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 164,848,850,864,1111,1787,1794,2709,2734,3753,3756,3943,6948,6971
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0391, 3.117, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 3.2024, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 848, 0.0906, 1.8194, -, 6.1, 10.6, 2.2, "Landers", 1992, "Coolwater", 7.28, strike slip, 19.74, 19.74, 352.98, 0.1, 1.8693, RSN848_LANDERS_CLW-LN.AT2, RSN848_LANDERS_CLW-TR.AT2 , RSN848_LANDERS_CLW-UP.AT2  
3, RotD50, 850, 0.0403, 3.6638, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 3.7642, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
4, RotD50, 864, 0.1044, 2.1481, -, 21.7, 27.1, 2.3, "Landers", 1992, "Joshua Tree", 7.28, strike slip, 11.03, 11.03, 379.32, 0.07, 2.207, RSN864_LANDERS_JOS000.AT2, RSN864_LANDERS_JOS090.AT2 , RSN864_LANDERS_JOS-UP.AT2  
5, RotD50, 1111, 0.082, 1.5403, -, 4.5, 11.2, 3.4, "Kobe_ Japan", 1995, "Nishi-Akashi", 6.9, strike slip, 7.08, 7.08, 609.0, 0.125, 1.5825, RSN1111_KOBE_NIS000.AT2, RSN1111_KOBE_NIS090.AT2 , RSN1111_KOBE_NIS-UP.AT2  
6, RotD50, 1787, 0.0571, 1.9796, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 2.0338, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
7, RotD50, 1794, 0.0699, 3.8168, -, 7.4, 14.6, 0.6, "Hector Mine", 1999, "Joshua Tree", 7.13, strike slip, 31.06, 31.06, 379.32, 0.0169, 3.9214, RSN1794_HECTOR_JOS090.AT2, RSN1794_HECTOR_JOS360.AT2 , RSN1794_HECTOR_JOS-UP.AT2  
8, RotD50, 2709, 0.0857, 4.5066, -, 4.3, 12.1, 0.3, "Chi-Chi_ Taiwan-04", 1999, "CHY035", 6.2, strike slip, 25.01, 25.06, 573.04, 0.05, 4.6301, RSN2709_CHICHI.04_CHY035N.AT2, RSN2709_CHICHI.04_CHY035E.AT2 , RSN2709_CHICHI.04_CHY035V.AT2  
9, RotD50, 2734, 0.0469, 1.7058, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 1.7526, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
10, RotD50, 3753, 0.096, 3.393, -, 22.7, 29.6, 1.2, "Landers", 1992, "Fun Valley", 7.28, strike slip, 25.02, 25.02, 388.63, 0.0625, 3.486, RSN3753_LANDERS_FVR045.AT2, RSN3753_LANDERS_FVR135.AT2 , RSN3753_LANDERS_FVR-UP.AT2  
11, RotD50, 3756, 0.0582, 3.4959, -, 23.0, 32.9, 1.0, "Landers", 1992, "Morongo Valley Hall (GEOS #58)", 7.28, strike slip, 40.67, 40.67, 368.2, 0.05, 3.5917, RSN3756_LANDERS_MVP000.AT2, RSN3756_LANDERS_MVP090.AT2 , RSN3756_LANDERS_MVP-UP.AT2  
12, RotD50, 3943, 0.0504, 3.1853, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 3.2726, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
13, RotD50, 6948, 0.0436, 4.4004, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 4.521, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  
14, RotD50, 6971, 0.0541, 3.3847, -, 16.1, 22.7, 1.0, "Darfield_ New Zealand", 2010, "SPFS", 7.0, strike slip, 29.86, 29.86, 389.54, 0.0375, 3.4774, RSN6971_DARFIELD_SPFSN17E.AT2, RSN6971_DARFIELD_SPFSN73W.AT2 , RSN6971_DARFIELD_SPFSUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-848 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-864 RotD50 pSa (g),RSN-1111 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-1794 RotD50 pSa (g),RSN-2709 RotD50 pSa (g),RSN-2734 RotD50 pSa (g),RSN-3753 RotD50 pSa (g),RSN-3756 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-6948 RotD50 pSa (g),RSN-6971 RotD50 pSa (g)
0.01,0.69677,0.60792929,0.67632733,0.54644845,0.53844074,0.63931346,0.56930851,0.59265182,0.73536096,0.62475734,0.55929744,0.55826739,0.55504801,0.71471695,0.56953793,0.70747215,0.60472358,0.54211377
0.02,0.70206,0.60998498,0.67736581,0.54930685,0.53946403,0.64466471,0.57475031,0.59677793,0.72725462,0.61997725,0.56085507,0.56156578,0.55868803,0.72155485,0.57455311,0.71062175,0.60622454,0.54283775
0.022,0.70514541,0.61219823,0.67893806,0.55201895,0.53923431,0.64481463,0.57552886,0.59705525,0.72787845,0.62244222,0.56116843,0.56236661,0.56073346,0.71970024,0.58213916,0.71295178,0.61847071,0.54629111
0.025,0.70930497,0.61550718,0.68354968,0.55423783,0.5405238,0.66129451,0.57999682,0.59523966,0.72898424,0.62828851,0.5629814,0.56490654,0.55953718,0.72205261,0.58439539,0.7154828,0.62826898,0.54514811
0.029,0.71416518,0.62320559,0.69286997,0.56054559,0.54912721,0.66325675,0.57453524,0.59524997,0.73034895,0.63307611,0.56363064,0.56767991,0.56576866,0.72575301,0.61202922,0.73153373,0.66286718,0.55002168
0.03,0.71528,0.62425467,0.69531403,0.56045741,0.55340429,0.66170916,0.57299536,0.59541924,0.73055089,0.63226409,0.56378331,0.56874978,0.56521001,0.72531022,0.61729471,0.74693073,0.65645807,0.54948555
0.032,0.72000935,0.63315341,0.7127232,0.56246694,0.56683711,0.66411242,0.5736193,0.59601878,0.73135446,0.63311115,0.56609323,0.57619517,0.57180722,0.72732736,0.6205602,0.81077739,0.66723629,0.55909763
0.035,0.72662797,0.63684609,0.71982766,0.56343062,0.57859893,0.65761293,0.57483714,0.59633026,0.73267389,0.63966652,0.56996955,0.58875737,0.56495005,0.72932312,0.63341488,0.83960033,0.64399935,0.56611098
0.036,0.72872117,0.63582636,0.72182168,0.56007622,0.5745098,0.65696977,0.57547317,0.59648342,0.73421605,0.64036828,0.56842414,0.58213625,0.56866017,0.72348818,0.63290413,0.85263258,0.63249419,0.56280891
0.04,0.73660345,0.64169558,0.73700264,0.55871336,0.59240921,0.67325424,0.56722675,0.59368936,0.74302462,0.65157962,0.5697581,0.56819592,0.57375798,0.73292783,0.62875488,0.88670454,0.63219145,0.57026361
0.042,0.74028239,0.64320019,0.73869287,0.56005208,0.59460728,0.68615497,0.56589607,0.59601878,0.74962823,0.65692903,0.56774513,0.57323477,0.57533022,0.73258277,0.62615955,0.88165364,0.63746571,0.56139649
0.044,0.74380726,0.64931242,0.74435671,0.566404,0.62472328,0.69757888,0.57532588,0.59929315,0.75977194,0.65557163,0.56416003,0.58804082,0.56886214,0.74516535,0.6153933,0.87899999,0.64832798,0.56915953
0.045,0.74551606,0.65157662,0.74925659,0.56663111,0.61476212,0.69283694,0.57827229,0.59930626,0.76383759,0.66013377,0.56513102,0.5928647,0.56926096,0.75097313,0.61366634,0.88869024,0.66303967,0.56929763
0.046,0.7471911,0.65797856,0.76150876,0.56852372,0.63118441,0.69552367,0.57876177,0.59867965,0.76706361,0.67364814,0.57269779,0.59750337,0.56920979,0.75717621,0.61485948,0.91516212,0.67416596,0.56606393
0.048,0.75044532,0.66937502,0.77446097,0.57854809,0.67189492,0.70226041,0.5801998,0.59849341,0.77299519,0.71135236,0.57953671,0.60866356,0.56936894,0.76942322,0.62306465,0.91460725,0.706696,0.56269383
0.05,0.75358,0.68099576,0.78851839,0.58813494,0.69659116,0.70017445,0.59042391,0.59930927,0.77890459,0.74410189,0.57882258,0.61291556,0.57822599,0.77358066,0.63552954,0.91694397,0.7589955,0.56942151
0.055,0.78188015,0.69938649,0.82783919,0.59086531,0.73112574,0.72953668,0.60958763,0.60176521,0.78263999,0.7199558,0.57492946,0.60507359,0.62130732,0.77577185,0.63830316,1.01253288,0.81625067,0.57263084
0.06,0.80864317,0.71786473,0.8476153,0.607976,0.79601352,0.75916273,0.6028767,0.60806241,0.77452287,0.69474766,0.59013363,0.66144013,0.67174648,0.78065641,0.65329976,1.00084036,0.88999396,0.56660954
0.065,0.83407099,0.74085619,0.86091316,0.63754153,0.92413616,0.72934164,0.65145683,0.60611407,0.80645826,0.76296548,0.58568783,0.7193957,0.70094254,0.76949888,0.65162349,0.90919228,0.92372309,0.63145039
0.067,0.84390567,0.75327743,0.88068933,0.64429858,0.91898228,0.70697287,0.66350954,0.60416981,0.8119262,0.78489484,0.58630386,0.7322274,0.73575447,0.77308901,0.67017609,0.94406374,0.96750659,0.64630733
0.07,0.85832577,0.76498435,0.89977458,0.6503863,0.91529492,0.75645235,0.65407276,0.6161606,0.79286703,0.81097715,0.5883321,0.72665046,0.75377102,0.79253256,0.66965975,0.96765359,1.0099977,0.65535891
0.075,0.88154,0.79597861,0.95322844,0.66466957,1.14636458,0.74940485,0.72074056,0.61496989,0.85050186,0.73088504,0.61579158,0.71758314,0.8011868,0.84883625,0.69906564,0.95179728,0.98456279,0.71201026
0.08,0.90926714,0.81565277,0.96268597,0.69107629,1.12528743,0.80608793,0.80196598,0.60120347,0.87417565,0.73133678,0.62780529,0.72889025,0.85336264,0.85629236,0.74127621,1.0134461,0.90735114,0.7506576
0.085,0.93610666,0.85173632,1.00649392,0.72077412,1.1341374,0.85805891,0.86214341,0.61435145,0.90169682,0.82963882,0.63971213,0.72051695,0.88076437,0.93755525,0.7210421,1.01823548,1.01131297,0.79514246
0.09,0.96213682,0.90866493,1.11552164,0.74016669,1.38099192,0.86209018,0.88647561,0.61763399,0.96027463,0.88725383,0.66265596,0.78225944,0.94322553,0.95486156,0.74486298,1.09568232,1.07911226,0.86392881
0.095,0.98742506,0.92989764,1.14889567,0.75264417,1.39411023,0.86184984,0.97839081,0.6152949,0.97382936,0.86774232,0.65214988,0.7374037,0.99650349,1.01743584,0.77138233,1.15507373,1.03471228,0.9626883
0.1,1.01203,0.94441788,1.1672803,0.76410535,1.42138388,0.86280976,0.99336354,0.63557291,0.95547056,0.83519629,0.66836282,0.80195517,1.06191553,0.98397413,0.78019158,1.1716238,1.10577047,0.94425987
0.11,1.1019728,1.01261164,1.27293006,0.8055292,1.39756288,0.80183342,1.04603134,0.69639984,1.00527939,0.90832563,0.70787264,0.78385613,1.18728171,1.17839949,0.8934023,1.35578318,1.3236948,0.8908402
0.12,1.19104639,1.03002077,1.26216883,0.84057122,1.43525743,0.86080259,1.00219836,0.69723116,1.07789682,1.02773017,0.73486647,0.83846464,1.30527386,1.0915843,0.94515801,1.26894231,1.20251176,0.93237296
0.13,1.27933077,1.09828324,1.30215921,0.92632764,1.38376694,1.07928568,0.98343326,0.74832905,1.20862765,1.06853796,0.76947592,1.01232867,1.36081934,1.26260784,1.03663698,1.21876177,1.24042343,1.00293084
0.133,1.3056725,1.10065996,1.28901519,0.93982783,1.37063927,1.12112763,1.00741044,0.77587263,1.17734782,1.04859788,0.76787936,0.99240716,1.29768916,1.29458987,1.10531831,1.25531156,1.1438828,1.05116556
0.14,1.36689298,1.10358916,1.29523697,0.94029823,1.32509436,1.0442014,1.01775326,0.79655642,1.16577578,0.96403668,0.77547667,1.01778528,1.27157105,1.33299686,1.25256905,1.30588771,1.07854198,1.10200172
0.15,1.45379,1.17395962,1.41376132,0.974833,1.45044229,0.94741009,1.13307007,0.74763779,1.18399826,1.16027434,0.8402078,1.02337574,1.39537079,1.40348666,1.38092214,1.43746261,1.2248145,1.10696159
