
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.0
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, Strike Slip (SS)


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0614, 0.6507, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 0.6672, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 850, 0.0809, 0.7648, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 0.7842, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
3, RotD50, 1787, 0.077, 0.4132, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 0.4237, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
4, RotD50, 2743, 0.0791, 1.5315, -, 7.6, 14.2, 0.1, "Chi-Chi_ Taiwan-04", 1999, "CHY087", 6.2, strike slip, 38.32, 38.35, 505.2, 0.03, 1.5704, RSN2743_CHICHI.04_CHY087N.AT2, RSN2743_CHICHI.04_CHY087E.AT2 , RSN2743_CHICHI.04_CHY087V.AT2  
5, RotD50, 2788, 0.0529, 4.2227, -, 15.0, 26.3, 0.0, "Chi-Chi_ Taiwan-04", 1999, "HWA041", 6.2, strike slip, 49.62, 49.79, 484.97, 0.0425, 4.3298, RSN2788_CHICHI.04_HWA041N.AT2, RSN2788_CHICHI.04_HWA041E.AT2 , RSN2788_CHICHI.04_HWA041V.AT2  
6, RotD50, 3752, 0.0472, 1.1183, -, 18.3, 27.3, 0.3, "Landers", 1992, "Forest Falls Post Office", 7.28, strike slip, 45.34, 45.34, 436.14, 0.125, 1.1467, RSN3752_LANDERS_FFP210.AT2, RSN3752_LANDERS_FFP300.AT2 , RSN3752_LANDERS_FFP-UP.AT2  
7, RotD50, 3759, 0.0582, 1.0825, -, 23.2, 33.4, 0.6, "Landers", 1992, "Whitewater Trout Farm", 7.28, strike slip, 27.05, 27.05, 425.02, 0.375, 1.1099, RSN3759_LANDERS_WWT180.AT2, RSN3759_LANDERS_WWT270.AT2 , RSN3759_LANDERS_WWT-UP.AT2  
8, RotD50, 3854, 0.0592, 1.458, -, 6.7, 17.1, 0.1, "Chi-Chi_ Taiwan-04", 1999, "CHY010", 6.2, strike slip, 31.6, 31.63, 538.69, 0.05, 1.495, RSN3854_CHICHI.04_CHY010N.AT2, RSN3854_CHICHI.04_CHY010W.AT2 , RSN3854_CHICHI.04_CHY010V.AT2  
9, RotD50, 3933, 0.0812, 0.6511, -, 5.4, 11.9, 0.6, "Tottori_ Japan", 2000, "SMN001", 6.61, strike slip, 14.42, 14.42, 331.0, 0.04125, 0.6677, RSN3933_TOTTORI_SMN001NS.AT2, RSN3933_TOTTORI_SMN001EW.AT2 , RSN3933_TOTTORI_SMN001UD.AT2  
10, RotD50, 3943, 0.0273, 0.6649, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 0.6818, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
11, RotD50, 4054, 0.0627, 1.2725, -, 9.5, 22.1, 0.2, "Bam_ Iran", 2003, "Mohammad Abad-e-Madkoon", 6.6, strike slip, 46.2, 46.22, 574.88, 0.0375, 1.3048, RSN4054_BAM_MOH-L.AT2, RSN4054_BAM_MOH-T.AT2 , RSN4054_BAM_MOH-V.AT2  
12, RotD50, 6893, 0.0505, 0.2929, -, 15.0, 21.3, 2.8, "Darfield_ New Zealand", 2010, "DFHS", 7.0, strike slip, 11.86, 11.86, 344.02, 0.1625, 0.3003, RSN6893_DARFIELD_DFHSS17E.AT2, RSN6893_DARFIELD_DFHSS73W.AT2 , RSN6893_DARFIELD_DFHSUP.AT2  
13, RotD50, 6928, 0.0687, 0.5088, 10.633, 7.6, 12.9, 0.7, "Darfield_ New Zealand", 2010, "LPCC", 7.0, strike slip, 25.21, 25.67, 649.67, 0.125, 0.5218, RSN6928_DARFIELD_LPCCN80E.AT2, RSN6928_DARFIELD_LPCCS10E.AT2 , RSN6928_DARFIELD_LPCCUP.AT2  
14, RotD50, 6948, 0.0368, 0.9186, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 0.9419, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-2743 RotD50 pSa (g),RSN-2788 RotD50 pSa (g),RSN-3752 RotD50 pSa (g),RSN-3759 RotD50 pSa (g),RSN-3854 RotD50 pSa (g),RSN-3933 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-4054 RotD50 pSa (g),RSN-6893 RotD50 pSa (g),RSN-6928 RotD50 pSa (g),RSN-6948 RotD50 pSa (g)
0.01,0.14743,0.12967425,0.14523644,0.11577956,0.11239983,0.1188435,0.13041848,0.11465958,0.11294298,0.12088042,0.14612471,0.11937591,0.15737799,0.14768524,0.1235646,0.13297498,0.1519549,0.12623642
0.02,0.15025,0.13125121,0.14776822,0.11658041,0.11261345,0.11997948,0.12942063,0.11500103,0.11385473,0.12349731,0.14830555,0.11996908,0.15709957,0.14834272,0.12691697,0.13564094,0.16032574,0.12654974
0.022,0.15191909,0.13207496,0.1488221,0.1172124,0.11256549,0.120142,0.12993519,0.11534941,0.11409352,0.12365029,0.14751059,0.12118236,0.15780871,0.14882912,0.12906708,0.13714958,0.16266002,0.12910614
0.025,0.15418688,0.13333384,0.14963646,0.11880736,0.11283467,0.12107469,0.13115561,0.11566221,0.11454813,0.12518301,0.15308213,0.12444223,0.15891544,0.14935747,0.13029063,0.14282618,0.15614981,0.13115153
0.029,0.15686239,0.13631432,0.15377673,0.12083489,0.11463064,0.11993458,0.13215503,0.11659054,0.11587303,0.12750904,0.15572259,0.1276631,0.16046814,0.15270811,0.13497509,0.15029665,0.16150005,0.13837393
0.03,0.15748,0.13763292,0.15659253,0.12096886,0.11552348,0.11961313,0.13198552,0.11666218,0.1156779,0.12853115,0.15741621,0.129655,0.16084775,0.15592225,0.13547062,0.15360906,0.16891056,0.13703602
0.032,0.16026508,0.1417955,0.16357993,0.12291218,0.11832759,0.11974338,0.13216234,0.11807518,0.11472194,0.13132529,0.16443924,0.1433183,0.16040524,0.16925028,0.13981074,0.15479585,0.17947569,0.13928598
0.035,0.16421404,0.14236507,0.16649525,0.12173208,0.12078288,0.1199976,0.13353078,0.11775115,0.11717011,0.12666574,0.172421,0.13212376,0.15861488,0.17526708,0.14015293,0.16128201,0.18291578,0.13443526
0.036,0.16547544,0.14335225,0.16846972,0.12197958,0.11992927,0.12013038,0.13367727,0.11844456,0.11821395,0.12777206,0.1732624,0.13551814,0.16094555,0.17798757,0.14059424,0.16161528,0.18680722,0.13203355
0.04,0.17027965,0.14822349,0.17444638,0.12594243,0.12366579,0.11840893,0.13601764,0.11923108,0.12109903,0.14388282,0.1730406,0.14314887,0.16924013,0.18510011,0.15731629,0.16013192,0.19287524,0.13197035
0.042,0.17255138,0.14879181,0.17583704,0.12590637,0.12412463,0.11813115,0.13713434,0.12090758,0.1219662,0.14661534,0.17317461,0.14036886,0.17022334,0.18404574,0.15180645,0.16086755,0.20064824,0.13307136
0.044,0.17474562,0.15063928,0.17870478,0.12698145,0.13041137,0.12009963,0.13685098,0.12234237,0.12308655,0.13963357,0.17274184,0.1331404,0.18154465,0.18349178,0.1640629,0.16427627,0.20192875,0.13533886
0.045,0.17581559,0.15163335,0.18180164,0.12647121,0.12833197,0.12071469,0.13780333,0.12265078,0.12341465,0.13427766,0.1736746,0.1346869,0.18786656,0.18551463,0.16267902,0.16384288,0.20899935,0.13840994
0.046,0.17686838,0.1539908,0.18718233,0.12668485,0.13176013,0.12081687,0.14062446,0.12341228,0.12334604,0.13099148,0.17518193,0.13743329,0.19032394,0.19104065,0.16181382,0.16603806,0.22235564,0.14073256
0.048,0.17892494,0.15794017,0.1925501,0.1295512,0.14025848,0.12111706,0.14849524,0.12515732,0.12375555,0.13562363,0.17787618,0.1382955,0.19179211,0.19092482,0.16367249,0.17225955,0.23441118,0.14752322
0.05,0.18092,0.16226569,0.1941758,0.13559957,0.14541383,0.12325135,0.15533172,0.13030653,0.12400055,0.14372648,0.18190825,0.14789479,0.18974677,0.19141261,0.16718508,0.18375571,0.22934523,0.15844078
0.055,0.19115448,0.16880718,0.20035125,0.14222952,0.15262295,0.12725179,0.15029121,0.13044848,0.13074983,0.14739098,0.17582026,0.17627932,0.19792506,0.21136686,0.17545683,0.20617177,0.21113232,0.17039283
0.06,0.20100255,0.17672322,0.2113091,0.14779816,0.16616831,0.12585088,0.145029,0.14507711,0.14520148,0.14805021,0.19458845,0.1686965,0.19565027,0.20892604,0.18864033,0.21991411,0.23654563,0.18578678
0.065,0.21050933,0.18668155,0.22661754,0.15378333,0.19291399,0.13599201,0.15926951,0.13517675,0.16463516,0.15491356,0.19886754,0.16515645,0.22962422,0.18979444,0.19396743,0.24014328,0.26025961,0.19282776
0.067,0.21422496,0.19110772,0.23010935,0.15871655,0.19183811,0.13850802,0.16384728,0.13803801,0.16448019,0.15993408,0.20632192,0.18172571,0.24228231,0.19707388,0.19466453,0.23785246,0.25697405,0.20196759
0.07,0.21971164,0.19700894,0.23757903,0.16336679,0.19106838,0.13653809,0.16929198,0.1483504,0.16997226,0.16926716,0.22152361,0.19174311,0.24382966,0.20199828,0.18943681,0.24300004,0.27126774,0.21083764
0.075,0.22864,0.20583608,0.25483514,0.16625843,0.23930431,0.15045503,0.1525727,0.15703352,0.16737089,0.19613725,0.26334168,0.18104497,0.25508318,0.19868826,0.17892997,0.24371567,0.29249957,0.20552809
0.08,0.23710851,0.21200649,0.25793937,0.17425316,0.23490444,0.16741089,0.152667,0.17354584,0.18962876,0.1831465,0.25962277,0.22470447,0.26687709,0.21155749,0.17938007,0.23480724,0.30042813,0.18941011
0.085,0.24534894,0.22993917,0.28050241,0.18849044,0.23675188,0.17997297,0.17318761,0.19981313,0.21445223,0.21087297,0.29045512,0.21993008,0.29660299,0.21255728,0.19273625,0.24332332,0.3373804,0.2111122
0.09,0.25338036,0.2442117,0.2907732,0.20510609,0.28828291,0.18505233,0.18521478,0.2276926,0.25671986,0.23316023,0.29846838,0.23985305,0.28850791,0.22872435,0.17523299,0.27298739,0.31380163,0.22526535
0.095,0.26121924,0.24675382,0.29072778,0.20943112,0.29102137,0.20423968,0.18114174,0.2401762,0.30210686,0.23262379,0.30152819,0.26698194,0.27922106,0.24112235,0.17594867,0.24287073,0.27957401,0.21599682
0.1,0.26888,0.25492255,0.30414887,0.21366349,0.29671476,0.20736525,0.17434774,0.24060609,0.28723986,0.25567652,0.31777878,0.26770394,0.30021456,0.24457718,0.18773835,0.23390591,0.32421655,0.23083026
0.11,0.282229,0.27362845,0.32944816,0.22726649,0.29174211,0.21835968,0.18961353,0.2273618,0.27931749,0.2691053,0.37060929,0.23260732,0.32341064,0.28302057,0.25467642,0.24732512,0.36732691,0.2763221
0.12,0.29499355,0.28456564,0.35299867,0.22939918,0.29961087,0.20920952,0.2145393,0.26234293,0.27255486,0.27510265,0.38354138,0.22555697,0.40084087,0.26489248,0.28481216,0.24818503,0.39170493,0.25102507
0.13,0.307245,0.28860568,0.36030542,0.23117399,0.2888622,0.2052923,0.22305795,0.26084759,0.26007303,0.28342278,0.38852623,0.22407184,0.41804789,0.25441726,0.32871461,0.26136715,0.3848396,0.25893915
0.133,0.31082932,0.29241203,0.36273587,0.23572192,0.28612179,0.21029755,0.21889545,0.28057236,0.26086161,0.29107776,0.38959495,0.23821614,0.41225587,0.26204706,0.36226572,0.2705322,0.37224372,0.23878624
0.14,0.31904124,0.30058895,0.3772326,0.23951725,0.27661426,0.21245662,0.20124325,0.31634894,0.27368506,0.33881456,0.3854332,0.25990461,0.41939802,0.27260486,0.41421138,0.27311879,0.33926542,0.2251463
0.15,0.33043,0.31258068,0.37665794,0.25940428,0.30278072,0.23652907,0.24220798,0.31671206,0.2608432,0.33750606,0.32315386,0.29017886,0.45161176,0.3000712,0.37249642,0.29512399,0.39123358,0.25568078
0.16,0.33351172,0.31946941,0.37725232,0.27053698,0.28756139,0.25887197,0.25375,0.31919628,0.25359379,0.28385802,0.32062371,0.33136559,0.44231685,0.35660443,0.33713983,0.33015461,0.40408383,0.29345143
