
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.0
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, Strike Slip (SS)


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0522, 0.9914, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 1.0146, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 472, 0.0673, 2.7279, -, 14.0, 21.8, 0.1, "Morgan Hill", 1984, "San Justo Dam (R Abut)", 6.19, strike slip, 31.88, 31.88, 543.63, 0.125, 2.7915, RSN472_MORGAN_SJR270.AT2, RSN472_MORGAN_SJR360.AT2 , RSN472_MORGAN_SJR-UP.AT2  
3, RotD50, 850, 0.0666, 1.1654, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 1.1926, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
4, RotD50, 1633, 0.0543, 0.3501, -, 10.8, 29.1, 7.5, "Manjil_ Iran", 1990, "Abbar", 7.37, strike slip, 12.55, 12.55, 723.95, 0.13, 0.3583, RSN1633_MANJIL_ABBAR--L.AT2, RSN1633_MANJIL_ABBAR--T.AT2 , RSN1633_MANJIL_ABBAR--V.AT2  
5, RotD50, 1787, 0.0666, 0.6297, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 0.6444, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
6, RotD50, 2714, 0.0749, 1.5302, -, 6.8, 18.5, 0.2, "Chi-Chi_ Taiwan-04", 1999, "CHY046", 6.2, strike slip, 38.11, 38.14, 442.15, 0.03, 1.5659, RSN2714_CHICHI.04_CHY046N.AT2, RSN2714_CHICHI.04_CHY046E.AT2 , RSN2714_CHICHI.04_CHY046V.AT2  
7, RotD50, 2743, 0.0763, 2.3336, -, 7.6, 14.2, 0.1, "Chi-Chi_ Taiwan-04", 1999, "CHY087", 6.2, strike slip, 38.32, 38.35, 505.2, 0.03, 2.388, RSN2743_CHICHI.04_CHY087N.AT2, RSN2743_CHICHI.04_CHY087E.AT2 , RSN2743_CHICHI.04_CHY087V.AT2  
8, RotD50, 3752, 0.042, 1.704, -, 18.3, 27.3, 0.3, "Landers", 1992, "Forest Falls Post Office", 7.28, strike slip, 45.34, 45.34, 436.14, 0.125, 1.7437, RSN3752_LANDERS_FFP210.AT2, RSN3752_LANDERS_FFP300.AT2 , RSN3752_LANDERS_FFP-UP.AT2  
9, RotD50, 3759, 0.0559, 1.6494, -, 23.2, 33.4, 0.6, "Landers", 1992, "Whitewater Trout Farm", 7.28, strike slip, 27.05, 27.05, 425.02, 0.375, 1.6879, RSN3759_LANDERS_WWT180.AT2, RSN3759_LANDERS_WWT270.AT2 , RSN3759_LANDERS_WWT-UP.AT2  
10, RotD50, 3854, 0.0616, 2.2216, -, 6.7, 17.1, 0.1, "Chi-Chi_ Taiwan-04", 1999, "CHY010", 6.2, strike slip, 31.6, 31.63, 538.69, 0.05, 2.2734, RSN3854_CHICHI.04_CHY010N.AT2, RSN3854_CHICHI.04_CHY010W.AT2 , RSN3854_CHICHI.04_CHY010V.AT2  
11, RotD50, 3943, 0.0274, 1.0132, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 1.0368, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
12, RotD50, 4054, 0.0651, 1.939, -, 9.5, 22.1, 0.2, "Bam_ Iran", 2003, "Mohammad Abad-e-Madkoon", 6.6, strike slip, 46.2, 46.22, 574.88, 0.0375, 1.9842, RSN4054_BAM_MOH-L.AT2, RSN4054_BAM_MOH-T.AT2 , RSN4054_BAM_MOH-V.AT2  
13, RotD50, 6893, 0.0537, 0.4463, -, 15.0, 21.3, 2.8, "Darfield_ New Zealand", 2010, "DFHS", 7.0, strike slip, 11.86, 11.86, 344.02, 0.1625, 0.4567, RSN6893_DARFIELD_DFHSS17E.AT2, RSN6893_DARFIELD_DFHSS73W.AT2 , RSN6893_DARFIELD_DFHSUP.AT2  
14, RotD50, 6948, 0.0297, 1.3997, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 1.4323, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-472 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-1633 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-2714 RotD50 pSa (g),RSN-2743 RotD50 pSa (g),RSN-3752 RotD50 pSa (g),RSN-3759 RotD50 pSa (g),RSN-3854 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-4054 RotD50 pSa (g),RSN-6893 RotD50 pSa (g),RSN-6948 RotD50 pSa (g)
0.01,0.22098,0.19030417,0.20717241,0.17480936,0.17126667,0.18350284,0.18108505,0.18498225,0.19872216,0.17297218,0.1747099,0.18418876,0.22265417,0.1818963,0.225032,0.18827872,0.20261757,0.19234984
0.02,0.22478,0.19199123,0.20925252,0.17615382,0.17159216,0.18426217,0.18281598,0.18587043,0.19720171,0.17502337,0.17523017,0.18817619,0.22597717,0.18280013,0.22603382,0.19338682,0.20667977,0.19282727
0.022,0.22702114,0.19340914,0.21060806,0.17761473,0.17151909,0.18454805,0.18306362,0.19294939,0.19798577,0.17493798,0.17576101,0.18840929,0.22476587,0.18464885,0.22677495,0.196663,0.20897853,0.19672252
0.025,0.23006215,0.19719929,0.2164712,0.17964311,0.17192924,0.18487731,0.18448478,0.20974401,0.19984535,0.176481,0.17623764,0.19074473,0.23325539,0.18961599,0.22758002,0.19852735,0.21762811,0.19983914
0.029,0.23364405,0.20140469,0.22290537,0.1819779,0.17466581,0.18532542,0.18274757,0.21526748,0.20136819,0.17834183,0.17765216,0.19428897,0.23727872,0.19452372,0.23268548,0.2056652,0.22901106,0.2108441
0.03,0.23447,0.20298879,0.2258562,0.18243665,0.17602626,0.18569924,0.18225776,0.21948836,0.2011099,0.17936872,0.17776132,0.19584638,0.23985934,0.19755883,0.23758294,0.20642025,0.23405827,0.2088055
0.032,0.23816272,0.20836584,0.23517465,0.1846131,0.18029895,0.18523706,0.18245623,0.21876822,0.20137933,0.18100018,0.17991434,0.20010389,0.25056051,0.21837797,0.25789122,0.2130334,0.23586662,0.21223382
0.035,0.24338672,0.20756489,0.2381874,0.18087935,0.18404014,0.18611571,0.18284359,0.19789142,0.20346446,0.18387903,0.17942061,0.19300401,0.26272254,0.20132055,0.26705919,0.2135548,0.24574976,0.20484264
0.036,0.24505251,0.20846557,0.2398307,0.18120239,0.18273948,0.1858801,0.1830459,0.19852337,0.20368767,0.18610496,0.18047717,0.19468974,0.2640046,0.20649266,0.27120448,0.21422725,0.24625757,0.20118309
0.04,0.25138436,0.21390168,0.24745868,0.18489523,0.1884329,0.18769161,0.18042289,0.19698055,0.20725376,0.18430839,0.18167562,0.21923814,0.26366665,0.2181198,0.28204205,0.23970708,0.24399733,0.20108679
0.042,0.25437167,0.21453956,0.24655697,0.18667987,0.18913206,0.18833089,0.17999963,0.20312035,0.2089553,0.18899926,0.18423016,0.22340176,0.26387084,0.21388384,0.28043547,0.23131159,0.24511823,0.20276443
0.044,0.25725304,0.21653448,0.24863218,0.18858051,0.19871133,0.19036918,0.18299906,0.20864333,0.20852354,0.19086529,0.18641638,0.21276344,0.26321142,0.20286963,0.27959139,0.24998708,0.25031219,0.20621949
0.045,0.25865664,0.21669865,0.24920365,0.18843345,0.19554289,0.1916329,0.18393624,0.20984043,0.20997466,0.19040349,0.18688631,0.20460251,0.26463269,0.20522607,0.28267366,0.24787842,0.24965183,0.21089897
0.046,0.26003679,0.21916937,0.25300862,0.18985603,0.20076648,0.19317107,0.18409194,0.21543958,0.21427329,0.191558,0.18804663,0.19959526,0.26692945,0.20941083,0.29109381,0.24656009,0.25299669,0.214438
0.048,0.26273028,0.22567208,0.25931208,0.19639613,0.21371563,0.19424932,0.18454934,0.23635888,0.22626621,0.19758026,0.19070559,0.20665339,0.27103475,0.2107246,0.29091732,0.2493922,0.26247654,0.22478512
0.05,0.26534,0.23387467,0.26928303,0.20312219,0.22157099,0.19233642,0.18780142,0.2526158,0.23668315,0.19533719,0.19855158,0.21899993,0.27717853,0.22535129,0.29166058,0.25474442,0.27999355,0.24142049
0.055,0.27949747,0.24956049,0.29779385,0.20913943,0.23255571,0.20538412,0.193897,0.31684262,0.22900279,0.19311402,0.19876788,0.22458362,0.26790209,0.26860156,0.3220654,0.26734832,0.3141495,0.25963216
0.06,0.2930808,0.26038124,0.31587998,0.21463339,0.25319515,0.20297617,0.19176239,0.35052951,0.22098461,0.20173633,0.22105792,0.22558811,0.29649969,0.25704742,0.31834625,0.28743637,0.33508907,0.28308835
0.065,0.30615847,0.27397143,0.33566446,0.2236172,0.29394826,0.23142859,0.20721471,0.39961445,0.24268326,0.21954115,0.20597246,0.23604597,0.30301985,0.25165335,0.28919493,0.29555342,0.3659128,0.29381687
0.067,0.31126078,0.28091148,0.34062611,0.23166533,0.29230892,0.23662471,0.21104842,0.40263749,0.24965853,0.22810777,0.21033224,0.24369589,0.3143783,0.27690038,0.30028681,0.2966156,0.36242223,0.30774348
0.07,0.31878617,0.28693998,0.34569926,0.23816814,0.29113605,0.24701758,0.20804678,0.39208573,0.25795476,0.21928562,0.22604552,0.25791695,0.33754152,0.29216416,0.30779024,0.28864999,0.37026574,0.32125901
0.075,0.33101,0.29869142,0.36765208,0.24266574,0.36463445,0.23450572,0.2292524,0.40737843,0.23247915,0.23825795,0.23927621,0.29885964,0.40126084,0.27586311,0.30274668,0.27264043,0.37135616,0.3131687
0.08,0.34301922,0.31249255,0.39313162,0.24839415,0.35793025,0.24730374,0.2550885,0.50505362,0.23262284,0.25333893,0.2644365,0.27906527,0.39559423,0.34238828,0.32235587,0.27332626,0.35778214,0.2886093
0.085,0.35469672,0.3350404,0.42591747,0.26355358,0.36074524,0.24707749,0.27422967,0.56459089,0.26389065,0.26657805,0.30446066,0.32131285,0.44257433,0.3351134,0.32387927,0.29367743,0.37075833,0.32167737
0.09,0.36607043,0.35211635,0.43683226,0.28382959,0.43926446,0.257874,0.28196923,0.50801155,0.28221677,0.26310213,0.34694137,0.35527255,0.45478435,0.36547057,0.34851348,0.26700725,0.41595826,0.3432429
0.095,0.37716449,0.35212098,0.4235874,0.29271217,0.44343712,0.27861945,0.31120553,0.4367035,0.27601057,0.26235388,0.36596298,0.35445516,0.45944665,0.4068076,0.36740464,0.26809774,0.37006869,0.3291202
0.1,0.388,0.35884178,0.42990928,0.2995223,0.4521123,0.29528489,0.31596804,0.41120318,0.26565836,0.26838104,0.36661801,0.38958122,0.48420812,0.40790774,0.37266887,0.28606201,0.35640876,0.35172231
0.11,0.41032949,0.38946517,0.47327372,0.32049767,0.44453534,0.28352582,0.33272055,0.49297967,0.28891926,0.31701511,0.34643732,0.41004302,0.5647074,0.35443007,0.43124609,0.38805735,0.37685597,0.42103946
0.12,0.43183498,0.40244,0.48794563,0.33191803,0.45652518,0.31315933,0.31877821,0.5351608,0.32689933,0.33835736,0.39973902,0.41918135,0.58441237,0.34368726,0.40362384,0.433976,0.37816624,0.38249368
0.13,0.45261205,0.41602134,0.50867502,0.34024427,0.44014714,0.32337442,0.31280942,0.57615372,0.33987943,0.38784435,0.39746052,0.43185896,0.59200793,0.34142433,0.38766247,0.50087134,0.3982522,0.39455259
0.133,0.45871518,0.42682034,0.52968643,0.34393103,0.43597151,0.31800623,0.32043606,0.61007584,0.33353691,0.40246215,0.42751569,0.44352306,0.59363636,0.36297637,0.39928818,0.55199408,0.41221722,0.36384504
0.14,0.4727388,0.44035874,0.55658253,0.34840442,0.42148463,0.3226278,0.32372589,0.59543011,0.30663978,0.40776462,0.48202944,0.51626091,0.58729499,0.39602369,0.4153754,0.63114507,0.41615848,0.3430615
0.15,0.49228,0.4504612,0.52604666,0.3857363,0.46135517,0.3667851,0.36040574,0.57847272,0.36905885,0.37489214,0.48258273,0.51426711,0.49239828,0.44215338,0.4572266,0.56758287,0.4496884,0.38958771
