
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.00
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, Strike Slip (SS)


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0465, 1.3056, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 1.3369, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 471, 0.0739, 3.2579, -, 11.3, 19.7, 0.2, "Morgan Hill", 1984, "San Justo Dam (L Abut)", 6.19, strike slip, 31.88, 31.88, 543.63, 0.125, 3.3359, RSN471_MORGAN_SJL270.AT2, RSN471_MORGAN_SJL360.AT2 , RSN471_MORGAN_SJL-UP.AT2  
3, RotD50, 472, 0.0603, 3.5923, -, 14.0, 21.8, 0.1, "Morgan Hill", 1984, "San Justo Dam (R Abut)", 6.19, strike slip, 31.88, 31.88, 543.63, 0.125, 3.6783, RSN472_MORGAN_SJR270.AT2, RSN472_MORGAN_SJR360.AT2 , RSN472_MORGAN_SJR-UP.AT2  
4, RotD50, 850, 0.059, 1.5346, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 1.5714, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
5, RotD50, 1633, 0.0587, 0.461, -, 10.8, 29.1, 7.5, "Manjil_ Iran", 1990, "Abbar", 7.37, strike slip, 12.55, 12.55, 723.95, 0.13, 0.4721, RSN1633_MANJIL_ABBAR--L.AT2, RSN1633_MANJIL_ABBAR--T.AT2 , RSN1633_MANJIL_ABBAR--V.AT2  
6, RotD50, 1787, 0.0618, 0.8292, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 0.849, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
7, RotD50, 2714, 0.0741, 2.015, -, 6.8, 18.5, 0.2, "Chi-Chi_ Taiwan-04", 1999, "CHY046", 6.2, strike slip, 38.11, 38.14, 442.15, 0.03, 2.0633, RSN2714_CHICHI.04_CHY046N.AT2, RSN2714_CHICHI.04_CHY046E.AT2 , RSN2714_CHICHI.04_CHY046V.AT2  
8, RotD50, 3752, 0.0429, 2.2439, -, 18.3, 27.3, 0.3, "Landers", 1992, "Forest Falls Post Office", 7.28, strike slip, 45.34, 45.34, 436.14, 0.125, 2.2976, RSN3752_LANDERS_FFP210.AT2, RSN3752_LANDERS_FFP300.AT2 , RSN3752_LANDERS_FFP-UP.AT2  
9, RotD50, 3759, 0.0534, 2.172, -, 23.2, 33.4, 0.6, "Landers", 1992, "Whitewater Trout Farm", 7.28, strike slip, 27.05, 27.05, 425.02, 0.375, 2.224, RSN3759_LANDERS_WWT180.AT2, RSN3759_LANDERS_WWT270.AT2 , RSN3759_LANDERS_WWT-UP.AT2  
10, RotD50, 3854, 0.0689, 2.9256, -, 6.7, 17.1, 0.1, "Chi-Chi_ Taiwan-04", 1999, "CHY010", 6.2, strike slip, 31.6, 31.63, 538.69, 0.05, 2.9956, RSN3854_CHICHI.04_CHY010N.AT2, RSN3854_CHICHI.04_CHY010W.AT2 , RSN3854_CHICHI.04_CHY010V.AT2  
11, RotD50, 3943, 0.0273, 1.3342, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 1.3662, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
12, RotD50, 4054, 0.0706, 2.5534, -, 9.5, 22.1, 0.2, "Bam_ Iran", 2003, "Mohammad Abad-e-Madkoon", 6.6, strike slip, 46.2, 46.22, 574.88, 0.0375, 2.6146, RSN4054_BAM_MOH-L.AT2, RSN4054_BAM_MOH-T.AT2 , RSN4054_BAM_MOH-V.AT2  
13, RotD50, 6893, 0.0593, 0.5877, -, 15.0, 21.3, 2.8, "Darfield_ New Zealand", 2010, "DFHS", 7.0, strike slip, 11.86, 11.86, 344.02, 0.1625, 0.6018, RSN6893_DARFIELD_DFHSS17E.AT2, RSN6893_DARFIELD_DFHSS73W.AT2 , RSN6893_DARFIELD_DFHSUP.AT2  
14, RotD50, 6948, 0.0279, 1.8432, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 1.8873, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-471 RotD50 pSa (g),RSN-472 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-1633 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-2714 RotD50 pSa (g),RSN-3752 RotD50 pSa (g),RSN-3759 RotD50 pSa (g),RSN-3854 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-4054 RotD50 pSa (g),RSN-6893 RotD50 pSa (g),RSN-6948 RotD50 pSa (g)
0.01,0.29083,0.25183753,0.27324493,0.23210731,0.22553751,0.24729081,0.24165107,0.23846714,0.24359928,0.26169308,0.22778347,0.24255435,0.29320865,0.23953545,0.29633996,0.24794033,0.26682286,0.25330151
0.02,0.29543,0.25405959,0.27590403,0.23394466,0.22596614,0.24798166,0.24265102,0.24074656,0.24476891,0.25969084,0.23048463,0.24780531,0.29758464,0.2407257,0.29765924,0.25466709,0.2721723,0.25393022
0.022,0.29811443,0.25591805,0.27760693,0.23592369,0.22586992,0.24855816,0.24302749,0.24107267,0.25409104,0.26072335,0.23037219,0.24811228,0.2959895,0.24316023,0.29863523,0.25898142,0.27519948,0.25905979
0.025,0.30175322,0.26106614,0.2852498,0.23893279,0.22641005,0.2513826,0.24346108,0.24294418,0.27620753,0.26317219,0.23240416,0.25118778,0.30716917,0.24970135,0.2996954,0.26143654,0.28658994,0.26316401
0.029,0.30603377,0.26667913,0.29365333,0.24218272,0.23001377,0.25429515,0.24405119,0.24065647,0.28348127,0.26517758,0.23485465,0.2558551,0.31246742,0.25616424,0.30641868,0.27083623,0.30157991,0.27765621
0.03,0.30702,0.26873937,0.29748616,0.24277045,0.23180532,0.25407732,0.24454348,0.24001146,0.28903966,0.26483745,0.23620694,0.25790603,0.31586578,0.26016112,0.31286804,0.27183053,0.30822648,0.27497162
0.032,0.31137973,0.27550969,0.30964276,0.24513923,0.23743195,0.25256407,0.24393483,0.24027281,0.28809132,0.26519226,0.23835538,0.26351265,0.32995793,0.28757741,0.33961159,0.28053926,0.31060786,0.27948631
0.035,0.3175361,0.27466015,0.3138115,0.24039335,0.24235864,0.2547869,0.24509191,0.24078293,0.2605991,0.26793812,0.24214647,0.25416297,0.34597385,0.26511485,0.3516847,0.28122588,0.32362275,0.26975302
0.036,0.31949647,0.27577998,0.31598214,0.2406927,0.24064582,0.25525057,0.24478164,0.24104934,0.2614313,0.26823206,0.24507775,0.25638287,0.34766218,0.27192589,0.35714354,0.28211141,0.32429147,0.26493383
0.04,0.32693626,0.2829252,0.32588536,0.24562831,0.24814337,0.25664015,0.24716718,0.23759516,0.2593996,0.27292817,0.24271189,0.28871015,0.34721713,0.28723743,0.37141531,0.31566527,0.32131501,0.26480702
0.042,0.33043992,0.28354481,0.32469345,0.24761097,0.24906408,0.25691861,0.24800903,0.23703777,0.26748497,0.27516889,0.2488892,0.29419313,0.34748602,0.28165918,0.36929964,0.30460943,0.32279111,0.26701626
0.044,0.33381551,0.28593886,0.32739975,0.24972845,0.26167882,0.25653531,0.25069322,0.24098765,0.27475806,0.27460032,0.25134654,0.28018375,0.34661764,0.2671548,0.3681881,0.3292028,0.32963092,0.27156615
0.045,0.33545852,0.28610828,0.32816355,0.24944253,0.25750637,0.25649934,0.25235739,0.24222182,0.2763345,0.27651126,0.2507384,0.26943679,0.34848929,0.27025795,0.37224707,0.32642594,0.32876131,0.27772846
0.046,0.33707323,0.28942073,0.33316991,0.25141634,0.2643852,0.2588508,0.25438297,0.24242685,0.28370791,0.28217205,0.25225875,0.26284285,0.35151384,0.27576877,0.38333539,0.32468986,0.33316608,0.28238895
0.048,0.34022208,0.2979102,0.34135989,0.25999097,0.28143768,0.2613188,0.2558029,0.2430292,0.3112561,0.29796527,0.26018934,0.27213756,0.35692003,0.27749884,0.38310297,0.3284194,0.3456499,0.29601486
0.05,0.34327,0.30828285,0.35455464,0.26804985,0.29178223,0.26564275,0.25328384,0.24731179,0.33266451,0.31168312,0.25723549,0.28839645,0.36501064,0.29676043,0.38408175,0.33546764,0.36871769,0.31792163
0.055,0.36074329,0.32898124,0.39203948,0.27606571,0.30624778,0.2665165,0.27046608,0.25533892,0.41724347,0.30156901,0.25430784,0.29574951,0.35279469,0.35371581,0.42412123,0.35206544,0.41369695,0.34190419
0.06,0.37747065,0.34106683,0.41629636,0.27943215,0.33342743,0.26557326,0.2672951,0.25252791,0.46160504,0.29101004,0.26566238,0.29707229,0.39045427,0.3385004,0.41922357,0.37851898,0.44127184,0.37279316
0.065,0.39354244,0.36046902,0.44220542,0.29384062,0.38709436,0.26678505,0.3047635,0.27287674,0.52624397,0.31958454,0.28910918,0.31084404,0.39904054,0.33139707,0.38083479,0.38920815,0.48186297,0.38692134
0.067,0.3998045,0.36942558,0.44888975,0.30402845,0.38493554,0.26996931,0.31160616,0.27792528,0.53022495,0.32877013,0.30039038,0.32091805,0.41399825,0.36464435,0.39544145,0.39060692,0.4772663,0.405261
0.07,0.40903203,0.37675971,0.45580176,0.31142459,0.38339102,0.28219649,0.32529232,0.27397248,0.51632956,0.33969527,0.28877267,0.33964547,0.44450141,0.38474491,0.40532257,0.38011718,0.48759525,0.42305932
0.075,0.424,0.39116536,0.4850281,0.31546696,0.48017952,0.28464562,0.30881571,0.30189773,0.53646819,0.30614696,0.31375694,0.39356204,0.52841206,0.3632784,0.39868081,0.35903452,0.4890312,0.41240535
0.08,0.43916258,0.40810483,0.51824331,0.32137329,0.47135091,0.30048932,0.32566915,0.33592074,0.66509463,0.30633618,0.33361677,0.36749526,0.52094982,0.45088401,0.42450375,0.35993767,0.47115587,0.38006359
0.085,0.45389919,0.43463869,0.56099089,0.33674484,0.4750579,0.3089711,0.32537121,0.36112736,0.74349802,0.34751211,0.35105109,0.42313022,0.58281693,0.44130388,0.42650989,0.38673771,0.48824394,0.42361024
0.09,0.46824584,0.45535705,0.57336399,0.36163771,0.57845824,0.34015278,0.33958891,0.37131942,0.66898985,0.3716454,0.34647372,0.46785104,0.59889606,0.4812806,0.45895017,0.3516163,0.54776679,0.45200944
0.095,0.48223372,0.45530988,0.55381082,0.37432834,0.58395313,0.36445611,0.36690816,0.40982009,0.57508577,0.36347258,0.34548837,0.46677464,0.60503575,0.53571647,0.48382754,0.35305235,0.48733577,0.43341155
0.1,0.49589,0.46441811,0.56294737,0.38313383,0.59537729,0.36892732,0.38885454,0.41609174,0.54150493,0.34983998,0.35342541,0.51303141,0.63764362,0.53716522,0.49075989,0.37670911,0.46934729,0.46317581
0.11,0.52732251,0.50489986,0.62566235,0.40744639,0.58539935,0.34451387,0.37336926,0.43815278,0.64919468,0.38047178,0.41747061,0.53997713,0.74365144,0.46674159,0.56789902,0.51102465,0.49627379,0.55445811
0.12,0.55775472,0.51838036,0.64177376,0.41871172,0.60118853,0.3642248,0.41239301,0.41979239,0.70474214,0.43048694,0.44557578,0.5520112,0.76960051,0.45259461,0.53152385,0.57149397,0.49799926,0.50369798
0.13,0.58729819,0.53866548,0.66929774,0.43352977,0.57962062,0.39482607,0.42584506,0.41193223,0.75872486,0.44758017,0.51074417,0.56870609,0.77960294,0.4496146,0.51050465,0.65958706,0.52445004,0.5195781
0.133,0.59600205,0.55078654,0.6947825,0.43663422,0.57412181,0.40500651,0.41877579,0.42197558,0.8033962,0.43922783,0.52999404,0.5840663,0.78174739,0.47799604,0.52581431,0.72690953,0.54284029,0.47913997
0.14,0.61604451,0.56843516,0.72395964,0.4463212,0.55504435,0.47427704,0.42486185,0.4263079,0.78410954,0.40380755,0.53697675,0.67985326,0.77339657,0.52151536,0.54699923,0.83114183,0.54803045,0.45177056
0.15,0.64407,0.58352502,0.68570634,0.49657037,0.60754903,0.50001159,0.48301167,0.47461083,0.76177871,0.48600593,0.49368766,0.67722767,0.64842907,0.5822626,0.60211221,0.74743809,0.59218531,0.51303996
