
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.000
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, Strike Slip (SS)


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0422, 1.5936, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 1.633, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 471, 0.0701, 3.9765, -, 11.3, 19.7, 0.2, "Morgan Hill", 1984, "San Justo Dam (L Abut)", 6.19, strike slip, 31.88, 31.88, 543.63, 0.125, 4.075, RSN471_MORGAN_SJL270.AT2, RSN471_MORGAN_SJL360.AT2 , RSN471_MORGAN_SJL-UP.AT2  
3, RotD50, 472, 0.0558, 4.3846, -, 14.0, 21.8, 0.1, "Morgan Hill", 1984, "San Justo Dam (R Abut)", 6.19, strike slip, 31.88, 31.88, 543.63, 0.125, 4.4932, RSN472_MORGAN_SJR270.AT2, RSN472_MORGAN_SJR360.AT2 , RSN472_MORGAN_SJR-UP.AT2  
4, RotD50, 554, 0.0753, 4.0578, -, 7.9, 11.9, 0.1, "Chalfant Valley-02", 1986, "Long Valley Dam (L Abut)", 6.19, strike slip, 18.3, 21.12, 537.16, 0.125, 4.1584, RSN554_CHALFANT.A_A-LVL000.AT2, RSN554_CHALFANT.A_A-LVL090.AT2 , RSN554_CHALFANT.A_A-LVL-UP.AT2  
5, RotD50, 850, 0.0537, 1.8731, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 1.9195, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
6, RotD50, 1633, 0.0637, 0.5627, -, 10.8, 29.1, 7.5, "Manjil_ Iran", 1990, "Abbar", 7.37, strike slip, 12.55, 12.55, 723.95, 0.13, 0.5767, RSN1633_MANJIL_ABBAR--L.AT2, RSN1633_MANJIL_ABBAR--T.AT2 , RSN1633_MANJIL_ABBAR--V.AT2  
7, RotD50, 1787, 0.0588, 1.0121, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 1.0371, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
8, RotD50, 2714, 0.076, 2.4595, -, 6.8, 18.5, 0.2, "Chi-Chi_ Taiwan-04", 1999, "CHY046", 6.2, strike slip, 38.11, 38.14, 442.15, 0.03, 2.5204, RSN2714_CHICHI.04_CHY046N.AT2, RSN2714_CHICHI.04_CHY046E.AT2 , RSN2714_CHICHI.04_CHY046V.AT2  
9, RotD50, 3752, 0.0458, 2.7388, -, 18.3, 27.3, 0.3, "Landers", 1992, "Forest Falls Post Office", 7.28, strike slip, 45.34, 45.34, 436.14, 0.125, 2.8067, RSN3752_LANDERS_FFP210.AT2, RSN3752_LANDERS_FFP300.AT2 , RSN3752_LANDERS_FFP-UP.AT2  
10, RotD50, 3759, 0.0517, 2.6511, -, 23.2, 33.4, 0.6, "Landers", 1992, "Whitewater Trout Farm", 7.28, strike slip, 27.05, 27.05, 425.02, 0.375, 2.7168, RSN3759_LANDERS_WWT180.AT2, RSN3759_LANDERS_WWT270.AT2 , RSN3759_LANDERS_WWT-UP.AT2  
11, RotD50, 3943, 0.0278, 1.6285, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 1.6688, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
12, RotD50, 4078, 0.0712, 5.0412, -, 12.6, 27.7, 0.1, "Parkfield-02_ CA", 2004, "Coalinga - Fire Station 39", 6.0, strike slip, 22.45, 22.59, 333.61, 0.0375, 5.1661, RSN4078_PARK2004_COA090.AT2, RSN4078_PARK2004_COA360.AT2 , RSN4078_PARK2004_COA-UP.AT2  
13, RotD50, 6893, 0.0661, 0.7174, -, 15.0, 21.3, 2.8, "Darfield_ New Zealand", 2010, "DFHS", 7.0, strike slip, 11.86, 11.86, 344.02, 0.1625, 0.7351, RSN6893_DARFIELD_DFHSS17E.AT2, RSN6893_DARFIELD_DFHSS73W.AT2 , RSN6893_DARFIELD_DFHSUP.AT2  
14, RotD50, 6948, 0.028, 2.2497, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 2.3054, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-471 RotD50 pSa (g),RSN-472 RotD50 pSa (g),RSN-554 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-1633 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-2714 RotD50 pSa (g),RSN-3752 RotD50 pSa (g),RSN-3759 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-4078 RotD50 pSa (g),RSN-6893 RotD50 pSa (g),RSN-6948 RotD50 pSa (g)
0.01,0.3559,0.30790631,0.33382264,0.28400198,0.27528115,0.30183227,0.29494865,0.30557082,0.29106249,0.29732655,0.31941104,0.27802247,0.29605115,0.35787756,0.3616995,0.29676373,0.32567223,0.30916866
0.02,0.36107,0.31065898,0.33716287,0.28623852,0.27580432,0.30267549,0.29616915,0.31458657,0.29384464,0.29875415,0.3169672,0.28131939,0.30246025,0.3632187,0.36330976,0.29797851,0.33220152,0.30993604
0.022,0.36406403,0.31244323,0.33883952,0.28810326,0.27568687,0.30337913,0.29662865,0.3156606,0.29424268,0.31013233,0.31822743,0.28118215,0.30283492,0.36127174,0.364501,0.29836436,0.33589636,0.31619697
0.025,0.36811874,0.3197055,0.34974292,0.29224783,0.27634613,0.30682653,0.29715787,0.33652467,0.29652696,0.33712675,0.32121638,0.28366228,0.30658873,0.37491716,0.365795,0.30218312,0.34979905,0.32120639
0.029,0.37288312,0.32601804,0.36013053,0.29513677,0.28074468,0.31038145,0.29787813,0.34934167,0.29373469,0.34600475,0.32366407,0.28665324,0.31228546,0.38138396,0.37400114,0.3011892,0.36809516,0.33889494
0.03,0.37398,0.32781398,0.36379404,0.29539243,0.28293136,0.31011558,0.29847899,0.3437716,0.29294742,0.35278907,0.32324892,0.28830379,0.31478874,0.38553185,0.38187295,0.30278953,0.37620766,0.33561824
0.032,0.37878213,0.33301517,0.37545126,0.2953755,0.28979897,0.30826857,0.29773611,0.34433089,0.29326641,0.35163158,0.32368198,0.29092607,0.32163194,0.40273211,0.41451495,0.30344982,0.37911427,0.34112867
0.035,0.38555234,0.33373651,0.38248951,0.29119767,0.29581227,0.31098166,0.29914839,0.34501565,0.29388904,0.31807578,0.32703346,0.29555331,0.31022012,0.42228044,0.42925085,0.30080178,0.39499968,0.32924865
0.036,0.38770556,0.33456088,0.38452374,0.29108991,0.29372168,0.3115476,0.29876969,0.34376186,0.29421421,0.31909153,0.32739224,0.2991311,0.31292963,0.42434113,0.43591367,0.30385554,0.39581589,0.32336656
0.04,0.39586582,0.33995095,0.39177568,0.29498169,0.30287287,0.31324366,0.30168136,0.35016651,0.28999818,0.31661172,0.3331241,0.29624344,0.35238689,0.42379792,0.45333317,0.3104588,0.39218295,0.32321178
0.042,0.39970262,0.34282107,0.39370784,0.29851142,0.30399665,0.31358354,0.30270889,0.36037705,0.28931786,0.32648037,0.33585902,0.30378319,0.35907918,0.42412613,0.45075087,0.30953933,0.39398461,0.32590828
0.044,0.40339553,0.34479309,0.39390258,0.30180629,0.31939363,0.3131157,0.3059851,0.36079253,0.29413891,0.33535759,0.33516504,0.30678251,0.34197995,0.42306622,0.44939417,0.30813728,0.40233298,0.33146168
0.045,0.4051917,0.3459706,0.3968608,0.30160615,0.31430093,0.3130718,0.30801631,0.37515574,0.29564528,0.33728172,0.33749746,0.30604024,0.32886268,0.42535067,0.45434837,0.30776251,0.40127157,0.33898313
0.046,0.40695613,0.35179266,0.40724673,0.30388968,0.32269693,0.31594188,0.31048865,0.40441543,0.29589553,0.34628138,0.34440677,0.30789591,0.3208144,0.42904231,0.46788229,0.30801644,0.40664784,0.34467151
0.048,0.41039461,0.36657849,0.42870655,0.31345402,0.34351043,0.31895421,0.31222174,0.46952885,0.29663073,0.37990549,0.36368328,0.31757564,0.33215911,0.43564087,0.4675986,0.31150217,0.42188504,0.36130269
0.05,0.41372,0.37829128,0.44510223,0.32150883,0.35613653,0.32423183,0.30914709,0.48498556,0.30185787,0.40603564,0.38042668,0.3139703,0.352004,0.4455159,0.46879327,0.31489157,0.45004057,0.38804113
0.055,0.43385049,0.39395854,0.47452334,0.32707208,0.37379255,0.32529829,0.33011898,0.43755998,0.31165544,0.50926899,0.36808184,0.31039694,0.36097882,0.43060565,0.51766369,0.31774499,0.50494028,0.41731319
0.06,0.45308227,0.41007568,0.50598356,0.33234689,0.40696683,0.32414702,0.32624862,0.46207906,0.30822444,0.56341477,0.35519403,0.3242558,0.36259335,0.47657128,0.51168581,0.32606664,0.53859697,0.45501491
0.065,0.47152574,0.43329113,0.53686719,0.34969766,0.47247032,0.32562608,0.3719809,0.44896656,0.33306133,0.6423102,0.39007081,0.35287393,0.37940254,0.4870513,0.46483017,0.3370318,0.58814071,0.47225913
0.067,0.47870303,0.44281266,0.54503931,0.35975946,0.46983536,0.32951264,0.38033275,0.46616774,0.33922335,0.64716921,0.40128233,0.36664326,0.39169844,0.50530802,0.48265842,0.34237174,0.58253023,0.49464372
0.07,0.4892704,0.45612722,0.5613531,0.37062597,0.46795018,0.3444366,0.39703747,0.53473182,0.33439874,0.63020911,0.41461707,0.3524632,0.41455629,0.54253884,0.49471887,0.34661799,0.59513729,0.51636756
0.075,0.50639,0.48532631,0.61339141,0.38399889,0.58608597,0.3474259,0.37692685,0.63036858,0.36848306,0.65478944,0.37366949,0.3829579,0.48036449,0.64495647,0.48661223,0.36167413,0.59688995,0.50336381
0.08,0.52421666,0.49715773,0.6400319,0.38617732,0.57531015,0.36676403,0.39749742,0.60754121,0.41001006,0.8117852,0.37390044,0.40719792,0.44854852,0.6358484,0.51813057,0.36871325,0.5750721,0.46388888
0.085,0.54153345,0.53716842,0.71004418,0.40638304,0.57983475,0.37711652,0.39713376,0.72677836,0.44077614,0.90748093,0.42415797,0.42847749,0.5164541,0.71136067,0.52057918,0.37723902,0.59592904,0.51704
0.09,0.55838375,0.56431106,0.72088342,0.44174545,0.70604064,0.4151755,0.41448726,0.73444159,0.45321613,0.81653954,0.45361399,0.42289056,0.57103836,0.73098614,0.56017435,0.40146797,0.66858002,0.55170281
0.095,0.57480503,0.5597636,0.68822368,0.45528119,0.71274747,0.44483907,0.44783194,0.72292991,0.50020834,0.70192435,0.44363862,0.42168788,0.56972456,0.73847997,0.59053858,0.41831615,0.59482057,0.52900304
0.1,0.59083,0.57626354,0.71386072,0.46518831,0.72669128,0.45029643,0.47461871,0.79793743,0.50786325,0.66093706,0.42699926,0.43137548,0.62618354,0.7782797,0.5989999,0.44931089,0.57286463,0.56533198
0.11,0.63112508,0.62176908,0.77466962,0.49904731,0.71451265,0.42049845,0.45571806,0.73288622,0.53478998,0.79237843,0.46438709,0.50954624,0.6590723,0.90766818,0.69315252,0.53767988,0.60572993,0.67674714
0.12,0.67030659,0.63575182,0.78514133,0.51478679,0.73378423,0.44455674,0.50334874,0.70514846,0.5123801,0.8601772,0.52543339,0.54385016,0.67376055,0.93934047,0.64875459,0.58736339,0.60783596,0.61479156
0.13,0.70849463,0.66177691,0.81281925,0.53880204,0.70745939,0.4819073,0.51976772,0.7440891,0.50278633,0.92606614,0.54629663,0.62339182,0.69413759,0.95154899,0.62309948,0.67003145,0.64012062,0.63417414
0.133,0.71977257,0.67225146,0.83490934,0.54128276,0.70074779,0.4943331,0.51113928,0.76655289,0.51504481,0.98059,0.53610214,0.64688737,0.71288559,0.95416641,0.64178578,0.70390123,0.66256695,0.58481714
0.14,0.74578817,0.68655991,0.84985996,0.55463785,0.67746268,0.57888166,0.51856765,0.7757796,0.52033264,0.95704956,0.4928697,0.65541016,0.82979894,0.94397377,0.66764316,0.77375608,0.66890183,0.55141125
0.15,0.78227,0.71814301,0.84268581,0.61200672,0.74154758,0.61029211,0.58954277,0.87142245,0.57928907,0.92979354,0.59319742,0.60257341,0.82659425,0.79144394,0.73491164,0.8344047,0.7227953,0.62619398
