
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.0
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, Strike Slip (SS)


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0395, 1.8628, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 1.9107, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 471, 0.0678, 4.6485, -, 11.3, 19.7, 0.2, "Morgan Hill", 1984, "San Justo Dam (L Abut)", 6.19, strike slip, 31.88, 31.88, 543.63, 0.125, 4.768, RSN471_MORGAN_SJL270.AT2, RSN471_MORGAN_SJL360.AT2 , RSN471_MORGAN_SJL-UP.AT2  
3, RotD50, 472, 0.0531, 5.1255, -, 14.0, 21.8, 0.1, "Morgan Hill", 1984, "San Justo Dam (R Abut)", 6.19, strike slip, 31.88, 31.88, 543.63, 0.125, 5.2573, RSN472_MORGAN_SJR270.AT2, RSN472_MORGAN_SJR360.AT2 , RSN472_MORGAN_SJR-UP.AT2  
4, RotD50, 554, 0.0726, 4.7435, -, 7.9, 11.9, 0.1, "Chalfant Valley-02", 1986, "Long Valley Dam (L Abut)", 6.19, strike slip, 18.3, 21.12, 537.16, 0.125, 4.8655, RSN554_CHALFANT.A_A-LVL000.AT2, RSN554_CHALFANT.A_A-LVL090.AT2 , RSN554_CHALFANT.A_A-LVL-UP.AT2  
5, RotD50, 850, 0.0502, 2.1896, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 2.246, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
6, RotD50, 1633, 0.0688, 0.6578, -, 10.8, 29.1, 7.5, "Manjil_ Iran", 1990, "Abbar", 7.37, strike slip, 12.55, 12.55, 723.95, 0.13, 0.6747, RSN1633_MANJIL_ABBAR--L.AT2, RSN1633_MANJIL_ABBAR--T.AT2 , RSN1633_MANJIL_ABBAR--V.AT2  
7, RotD50, 1787, 0.0573, 1.1831, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 1.2135, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
8, RotD50, 2714, 0.0788, 2.8751, -, 6.8, 18.5, 0.2, "Chi-Chi_ Taiwan-04", 1999, "CHY046", 6.2, strike slip, 38.11, 38.14, 442.15, 0.03, 2.949, RSN2714_CHICHI.04_CHY046N.AT2, RSN2714_CHICHI.04_CHY046E.AT2 , RSN2714_CHICHI.04_CHY046V.AT2  
9, RotD50, 3752, 0.0493, 3.2016, -, 18.3, 27.3, 0.3, "Landers", 1992, "Forest Falls Post Office", 7.28, strike slip, 45.34, 45.34, 436.14, 0.125, 3.2839, RSN3752_LANDERS_FFP210.AT2, RSN3752_LANDERS_FFP300.AT2 , RSN3752_LANDERS_FFP-UP.AT2  
10, RotD50, 3759, 0.0511, 3.0991, -, 23.2, 33.4, 0.6, "Landers", 1992, "Whitewater Trout Farm", 7.28, strike slip, 27.05, 27.05, 425.02, 0.375, 3.1788, RSN3759_LANDERS_WWT180.AT2, RSN3759_LANDERS_WWT270.AT2 , RSN3759_LANDERS_WWT-UP.AT2  
11, RotD50, 3943, 0.0291, 1.9037, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 1.9526, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
12, RotD50, 6875, 0.0773, 4.3676, -, 7.9, 16.1, 0.2, "Joshua Tree_ CA    ", 1992, "Morongo Valley Fire Station", 6.1, strike slip, 21.73, 22.3, 396.41, 0.125, 4.48, RSN6875_JOSHUA_5071045.AT2, RSN6875_JOSHUA_5071135.AT2 , RSN6875_JOSHUA_5071_UP.AT2  
13, RotD50, 6893, 0.0728, 0.8386, -, 15.0, 21.3, 2.8, "Darfield_ New Zealand", 2010, "DFHS", 7.0, strike slip, 11.86, 11.86, 344.02, 0.1625, 0.8601, RSN6893_DARFIELD_DFHSS17E.AT2, RSN6893_DARFIELD_DFHSS73W.AT2 , RSN6893_DARFIELD_DFHSUP.AT2  
14, RotD50, 6948, 0.0292, 2.6299, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 2.6975, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-471 RotD50 pSa (g),RSN-472 RotD50 pSa (g),RSN-554 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-1633 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-2714 RotD50 pSa (g),RSN-3752 RotD50 pSa (g),RSN-3759 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-6875 RotD50 pSa (g),RSN-6893 RotD50 pSa (g),RSN-6948 RotD50 pSa (g)
0.01,0.41739,0.36480974,0.39832136,0.33411753,0.32179839,0.35283614,0.34478932,0.35720644,0.34024647,0.34756904,0.37338539,0.32500294,0.34607812,0.418352,0.42281979,0.41513551,0.3807046,0.36141224
0.02,0.423,0.3684339,0.40297017,0.33685755,0.32240996,0.35382185,0.34621606,0.36774567,0.34349876,0.34923787,0.37052858,0.32885697,0.35357023,0.4245957,0.42470214,0.42224437,0.38833721,0.36230929
0.022,0.42621334,0.37041052,0.40435498,0.33931561,0.32227267,0.35464439,0.34675321,0.36900119,0.34396406,0.36253875,0.37200176,0.32869655,0.35400821,0.42231975,0.42609468,0.42116749,0.39265641,0.3696282
0.025,0.43056154,0.37856151,0.4153378,0.34504159,0.32304333,0.35867433,0.34737186,0.39339089,0.34663433,0.39409471,0.37549579,0.33159577,0.35839635,0.43827098,0.42760735,0.42089289,0.40890839,0.37548412
0.029,0.43566567,0.38580438,0.42586068,0.34951577,0.32818515,0.36282997,0.34821382,0.40837372,0.34337022,0.40447292,0.3783571,0.33509214,0.36505572,0.44583054,0.43720016,0.417822,0.43029618,0.39616169
0.03,0.43684,0.38804017,0.43036068,0.34988134,0.33074134,0.36251917,0.34891622,0.40186241,0.34244991,0.41240366,0.37787179,0.3370216,0.367982,0.45067935,0.44640216,0.42160189,0.43977954,0.39233129
0.032,0.44193484,0.3953429,0.44559886,0.35075497,0.33876944,0.36036005,0.34804781,0.40251622,0.34282281,0.41105057,0.37837804,0.340087,0.37598157,0.47078612,0.48456003,0.43949081,0.44317731,0.39877288
0.035,0.44910774,0.39696496,0.45475173,0.34652134,0.34579888,0.36353161,0.34969873,0.40331669,0.34355065,0.37182449,0.38229585,0.34549616,0.36264138,0.49363774,0.50178602,0.44729885,0.46174705,0.38488536
0.036,0.45138661,0.39735095,0.45631684,0.34600471,0.34335502,0.36419318,0.34925604,0.40185103,0.34393077,0.37301188,0.38271525,0.34967853,0.36580874,0.49604665,0.50957473,0.44278095,0.46270119,0.37800931
0.04,0.46001267,0.40226343,0.46250993,0.34986464,0.35405258,0.36617584,0.35265973,0.40933794,0.33900231,0.37011303,0.38941569,0.34630291,0.41193352,0.49541165,0.52993779,0.43106234,0.45845436,0.37782838
0.042,0.46406287,0.40643827,0.46563667,0.35476602,0.35536625,0.36657314,0.3538609,0.42127386,0.33820703,0.3816493,0.39261276,0.35511673,0.41975667,0.49579532,0.52691913,0.44146367,0.46056046,0.38098053
0.044,0.46795782,0.40896314,0.46575328,0.35909753,0.37336504,0.36602625,0.35769072,0.42175955,0.34384275,0.39202659,0.39180151,0.35862287,0.399768,0.49455631,0.52533317,0.44289932,0.47031954,0.38747235
0.045,0.46985108,0.41037794,0.4690649,0.35903359,0.36741176,0.36597493,0.36006516,0.43854987,0.34560366,0.39427586,0.39452807,0.35775518,0.38443417,0.49722678,0.53112454,0.44299759,0.46907878,0.39626478
0.046,0.47171014,0.41722985,0.48056607,0.36224102,0.37722652,0.36933001,0.36295528,0.47275389,0.3458962,0.40479629,0.40260492,0.35992442,0.37502589,0.50154224,0.54694543,0.44393882,0.47536353,0.40291439
0.048,0.47533093,0.43522745,0.50530573,0.37486797,0.40155711,0.37285136,0.36498124,0.54887022,0.34675564,0.44410223,0.42513879,0.37123984,0.38828763,0.50925582,0.54661381,0.45799914,0.49317553,0.42235592
0.05,0.47883,0.44811575,0.52262458,0.3842294,0.41631678,0.3790208,0.36138703,0.56693882,0.35286607,0.47464788,0.4447115,0.36702527,0.41148593,0.52079956,0.54801034,0.4507091,0.5260888,0.45361265
0.055,0.50121272,0.46703397,0.5567424,0.39178034,0.43695633,0.38026747,0.38590276,0.51149923,0.36431924,0.59532569,0.43028062,0.36284808,0.42197732,0.50336976,0.60513893,0.46249345,0.59026551,0.48783113
0.06,0.5225589,0.48690193,0.59423165,0.39895804,0.47573642,0.37892165,0.38137838,0.54016157,0.36030846,0.65862107,0.41521502,0.37904882,0.42386467,0.5571027,0.59815091,0.48660416,0.62960953,0.53190371
0.065,0.54299739,0.51720296,0.63269333,0.42279394,0.55230875,0.38065064,0.43483854,0.52483331,0.38934231,0.75084831,0.4559853,0.41250286,0.44351429,0.56935364,0.54337756,0.54369889,0.68752522,0.55206188
0.067,0.55094267,0.52724197,0.64037163,0.43409809,0.54922854,0.38519396,0.4446017,0.54494115,0.39654559,0.7565284,0.46909136,0.42859895,0.45788797,0.59069539,0.56421844,0.53466049,0.68096667,0.57822903
0.07,0.56263249,0.5421716,0.65788326,0.44681187,0.54702479,0.40263979,0.4641292,0.62509125,0.39090572,0.73670236,0.48467942,0.41202272,0.48460836,0.63421751,0.57831688,0.53073659,0.69570408,0.60362378
0.075,0.58155,0.57904519,0.72065681,0.46526076,0.68512326,0.40613422,0.44062026,0.73688879,0.43074964,0.7654363,0.43681247,0.44767044,0.56153688,0.75394176,0.56884038,0.58670273,0.69775291,0.58842264
0.08,0.6017411,0.59467643,0.75373981,0.46918054,0.67252654,0.42874012,0.46466686,0.71020403,0.4792939,0.94896133,0.43708246,0.47600657,0.52434463,0.74329459,0.60568471,0.6201388,0.67224826,0.5422772
0.085,0.62134581,0.6436966,0.83491863,0.4962703,0.67781571,0.44084198,0.46424175,0.84958998,0.51525886,1.0608278,0.49583254,0.50088198,0.60372494,0.83156699,0.60854708,0.66158338,0.69662963,0.60440985
0.09,0.64041426,0.67707656,0.84872702,0.54014148,0.82534798,0.4853322,0.48452767,0.85854814,0.52980097,0.95451907,0.53026607,0.49435096,0.66753291,0.85450879,0.65483308,0.71301677,0.78155723,0.64493001
0.095,0.65898975,0.67449433,0.81781653,0.55628933,0.83318813,0.52000835,0.52350695,0.84509121,0.58473397,0.82053611,0.51860504,0.49294505,0.66599709,0.86326894,0.69032828,0.77098329,0.69533385,0.61839442
0.1,0.67711,0.69196974,0.84771759,0.56483684,0.84948818,0.5263879,0.55482018,0.93277356,0.5936824,0.77262275,0.49915395,0.50426967,0.73199656,0.90979406,0.70021941,0.78183776,0.66966778,0.66086225
0.11,0.72603252,0.73624169,0.91198733,0.59436334,0.8352516,0.49155463,0.53272568,0.85672995,0.62515924,0.92627519,0.54285961,0.59564979,0.77044289,1.06104671,0.81028201,0.76021529,0.70808668,0.79110443
0.12,0.77377542,0.75918943,0.93930876,0.6136093,0.8577797,0.51967831,0.58840503,0.82430504,0.59896252,1.00553066,0.61422157,0.63575042,0.78761317,1.09807101,0.75838169,0.91072479,0.71054859,0.71867955
0.13,0.82046226,0.78589038,0.97048771,0.63640548,0.82700647,0.5633404,0.6075985,0.8698259,0.58774758,1.08255356,0.63861029,0.7287331,0.81143354,1.11234254,0.72839135,0.95525599,0.74828874,0.74133741
0.133,0.83427813,0.79418684,0.98958426,0.63737143,0.81916074,0.57786592,0.59751202,0.89608564,0.60207751,1.14629091,0.62669313,0.75619894,0.83334959,1.11540225,0.75023528,0.9395757,0.77452807,0.68364003
0.14,0.86619521,0.81105844,1.01117773,0.65054418,0.79194088,0.67670157,0.60619565,0.90687149,0.60825888,1.11877259,0.57615524,0.76616192,0.97001905,1.10348725,0.78046206,1.02326896,0.78193342,0.64458918
0.15,0.91106,0.84317778,0.99378626,0.71539404,0.86685491,0.71341978,0.6891642,1.01867615,0.67717782,1.08691082,0.69343642,0.70439677,0.96627284,0.92518281,0.85909762,1.02695612,0.84493385,0.73200876
