
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.0
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, Strike Slip (SS)


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.038, 2.081, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 2.1356, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 471, 0.066, 5.1929, -, 11.3, 19.7, 0.2, "Morgan Hill", 1984, "San Justo Dam (L Abut)", 6.19, strike slip, 31.88, 31.88, 543.63, 0.125, 5.3291, RSN471_MORGAN_SJL270.AT2, RSN471_MORGAN_SJL360.AT2 , RSN471_MORGAN_SJL-UP.AT2  
3, RotD50, 554, 0.0714, 5.2991, -, 7.9, 11.9, 0.1, "Chalfant Valley-02", 1986, "Long Valley Dam (L Abut)", 6.19, strike slip, 18.3, 21.12, 537.16, 0.125, 5.4381, RSN554_CHALFANT.A_A-LVL000.AT2, RSN554_CHALFANT.A_A-LVL090.AT2 , RSN554_CHALFANT.A_A-LVL-UP.AT2  
4, RotD50, 850, 0.047, 2.4461, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 2.5103, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
5, RotD50, 1633, 0.0738, 0.7348, -, 10.8, 29.1, 7.5, "Manjil_ Iran", 1990, "Abbar", 7.37, strike slip, 12.55, 12.55, 723.95, 0.13, 0.7541, RSN1633_MANJIL_ABBAR--L.AT2, RSN1633_MANJIL_ABBAR--T.AT2 , RSN1633_MANJIL_ABBAR--V.AT2  
6, RotD50, 1787, 0.0558, 1.3216, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 1.3563, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
7, RotD50, 2712, 0.0768, 4.5838, -, 4.1, 11.0, 0.1, "Chi-Chi_ Taiwan-04", 1999, "CHY042", 6.2, strike slip, 34.1, 34.13, 665.2, 0.05, 4.704, RSN2712_CHICHI.04_CHY042N.AT2, RSN2712_CHICHI.04_CHY042E.AT2 , RSN2712_CHICHI.04_CHY042V.AT2  
8, RotD50, 2734, 0.0741, 1.1389, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 1.1687, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
9, RotD50, 3752, 0.052, 3.5766, -, 18.3, 27.3, 0.3, "Landers", 1992, "Forest Falls Post Office", 7.28, strike slip, 45.34, 45.34, 436.14, 0.125, 3.6704, RSN3752_LANDERS_FFP210.AT2, RSN3752_LANDERS_FFP300.AT2 , RSN3752_LANDERS_FFP-UP.AT2  
10, RotD50, 3759, 0.0521, 3.462, -, 23.2, 33.4, 0.6, "Landers", 1992, "Whitewater Trout Farm", 7.28, strike slip, 27.05, 27.05, 425.02, 0.375, 3.5528, RSN3759_LANDERS_WWT180.AT2, RSN3759_LANDERS_WWT270.AT2 , RSN3759_LANDERS_WWT-UP.AT2  
11, RotD50, 3943, 0.0313, 2.1266, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 2.1824, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
12, RotD50, 6875, 0.073, 4.8792, -, 7.9, 16.1, 0.2, "Joshua Tree_ CA    ", 1992, "Morongo Valley Fire Station", 6.1, strike slip, 21.73, 22.3, 396.41, 0.125, 5.0071, RSN6875_JOSHUA_5071045.AT2, RSN6875_JOSHUA_5071135.AT2 , RSN6875_JOSHUA_5071_UP.AT2  
13, RotD50, 6891, 0.0784, 3.4564, -, 15.4, 28.9, 0.4, "Darfield_ New Zealand", 2010, "CSHS", 7.0, strike slip, 43.6, 43.6, 638.39, 0.0375, 3.5471, RSN6891_DARFIELD_CSHSN76W.AT2, RSN6891_DARFIELD_CSHSS14W.AT2 , RSN6891_DARFIELD_CSHSUP.AT2  
14, RotD50, 6948, 0.03, 2.9379, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 3.0149, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-471 RotD50 pSa (g),RSN-554 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-1633 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-2712 RotD50 pSa (g),RSN-2734 RotD50 pSa (g),RSN-3752 RotD50 pSa (g),RSN-3759 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-6875 RotD50 pSa (g),RSN-6891 RotD50 pSa (g),RSN-6948 RotD50 pSa (g)
0.01,0.46602,0.40771251,0.44544342,0.37317756,0.3594852,0.39415788,0.39904,0.3800938,0.38827393,0.41711372,0.43147844,0.3705729,0.38660841,0.46734651,0.47233753,0.46375332,0.37397509,0.40373836
0.02,0.47184,0.41122408,0.45003516,0.37576006,0.3601684,0.39525903,0.41081352,0.38372697,0.3901382,0.41392234,0.43418301,0.37300313,0.39497794,0.47432143,0.47444034,0.47169473,0.37574755,0.40474046
0.022,0.47515624,0.41335484,0.4510307,0.37882615,0.36001503,0.3961779,0.41221607,0.38424676,0.40499679,0.41556805,0.43462878,0.37436875,0.39546722,0.47177893,0.47599596,0.47049172,0.37809931,0.41291651
0.025,0.47964071,0.42089475,0.46149827,0.38386362,0.36087594,0.4006798,0.43946212,0.38722976,0.44024836,0.41947127,0.43631895,0.37357006,0.40036927,0.48959826,0.47768577,0.47018497,0.37737381,0.41945823
0.029,0.48490051,0.42737438,0.47028742,0.3883771,0.36661993,0.40532212,0.45619964,0.38358338,0.451842,0.42266768,0.43747924,0.37773045,0.40780854,0.49804314,0.48840204,0.46675444,0.37823135,0.44255742
0.03,0.48611,0.4289245,0.47376448,0.38832845,0.36947549,0.40497492,0.44892577,0.38255529,0.46070154,0.42212554,0.4367551,0.37735747,0.41107752,0.50345981,0.49868171,0.47097701,0.37959733,0.43827843
0.032,0.49132842,0.43706603,0.4912128,0.3888879,0.37844379,0.40256294,0.44965614,0.38297186,0.45918998,0.42269107,0.43552353,0.38176204,0.42001394,0.52592135,0.54130836,0.49096095,0.38244405,0.44547442
0.035,0.49866725,0.43633075,0.49861219,0.38182886,0.38629646,0.40610593,0.45055036,0.38378494,0.41537001,0.42706771,0.43694175,0.37718391,0.40511144,0.5514492,0.56055175,0.49968341,0.37857319,0.42996048
0.036,0.50099689,0.43658561,0.50025527,0.38101947,0.38356639,0.40684497,0.44891306,0.38420958,0.41669646,0.42753623,0.43728003,0.37966094,0.40864975,0.55414022,0.56925261,0.49463641,0.37853275,0.42227916
0.04,0.50980674,0.44316584,0.50878193,0.38601207,0.39551678,0.40905983,0.45727678,0.37870393,0.41345812,0.43502138,0.43930831,0.38306445,0.46017634,0.55343086,0.59200045,0.4815454,0.38368214,0.42207704
0.042,0.5139387,0.44866746,0.5141234,0.39154508,0.3969843,0.40950367,0.47061056,0.37781551,0.42634543,0.43859287,0.46207024,0.38411414,0.46891569,0.55385945,0.58862827,0.49316486,0.3851411,0.42559835
0.044,0.51790959,0.45162361,0.5153648,0.39576604,0.41709098,0.40889273,0.47115313,0.38411125,0.43793804,0.43768661,0.48678412,0.37979579,0.44658608,0.55247534,0.58685658,0.49476864,0.3857408,0.43285045
0.045,0.51983882,0.45355788,0.51972139,0.39581736,0.4104405,0.4088354,0.48990981,0.38607839,0.44045074,0.44073248,0.48957656,0.38006205,0.42945645,0.55545856,0.59332619,0.49487842,0.38793217,0.44267258
0.046,0.5217326,0.46031177,0.53173881,0.39847933,0.42140469,0.4125834,0.52811957,0.38640518,0.45220325,0.44975523,0.48644859,0.38002789,0.41894634,0.56027941,0.61099991,0.49592988,0.39116048,0.45010095
0.048,0.52541932,0.47692995,0.55714683,0.40826253,0.44858471,0.41651714,0.61315013,0.38736527,0.49611243,0.47492812,0.46832801,0.38013414,0.43376121,0.56889636,0.61062945,0.51163685,0.39515612,0.47181934
0.05,0.52898,0.48831364,0.57146635,0.41726028,0.46507293,0.42340911,0.6333348,0.39419131,0.53023537,0.49679306,0.44690445,0.38604748,0.45967633,0.58179201,0.61218954,0.50349305,0.39651485,0.50673664
0.055,0.55286242,0.50597645,0.60003615,0.42666124,0.48812965,0.42480178,0.5714025,0.4069858,0.66504613,0.48067213,0.4660297,0.41481035,0.4713964,0.56232096,0.67600863,0.5166575,0.39444617,0.54496255
0.06,0.57560566,0.52733468,0.63767246,0.43608887,0.5314514,0.42329834,0.60342157,0.40250531,0.73575423,0.46384214,0.46301954,0.4484856,0.47350479,0.62234673,0.66820223,0.54359189,0.40906516,0.59419661
0.065,0.5973527,0.55207226,0.67452329,0.45185063,0.61699135,0.42522983,0.58629817,0.4349394,0.8387825,0.50938716,0.46365256,0.4679781,0.49545564,0.63603241,0.60701419,0.60737316,0.42316153,0.61671557
0.067,0.60579923,0.56421006,0.68773905,0.46286886,0.6135504,0.43030523,0.60876091,0.44298628,0.8451278,0.52402811,0.47334862,0.49121997,0.51151265,0.65987357,0.63029582,0.59727624,0.42470794,0.64594723
0.07,0.61821915,0.58018548,0.70814173,0.47535003,0.61108857,0.44979419,0.69829763,0.43668591,0.82297987,0.54144174,0.47978011,0.50324857,0.54136236,0.7084927,0.64604537,0.59289281,0.41617089,0.67431605
0.075,0.6383,0.62350023,0.78751984,0.49364158,0.76536018,0.45369787,0.82318813,0.48119607,0.85507893,0.48796895,0.47628728,0.5349053,0.62730022,0.84223823,0.63545905,0.65541331,0.43357508,0.65733465
0.08,0.66015113,0.64513289,0.83045109,0.50116913,0.75128822,0.47895122,0.79337824,0.53542551,1.06009715,0.48827055,0.47456286,0.56974003,0.58575226,0.83034414,0.67661834,0.69276519,0.48888182,0.60578498
0.085,0.68135801,0.7028927,0.92293058,0.53531453,0.75719682,0.49247036,0.94908811,0.57560243,1.18506465,0.55390104,0.50817568,0.58803455,0.67442906,0.92895439,0.67981593,0.73906348,0.53350715,0.67519417
0.09,0.70197595,0.74126214,0.92985572,0.59091916,0.92200706,0.54217097,0.95909539,0.59184761,1.06630577,0.59236718,0.55965423,0.6297362,0.74570977,0.95458298,0.73152263,0.79652039,0.56569001,0.72045977
0.095,0.72205274,0.75351191,0.90505029,0.62734657,0.93076538,0.58090815,0.94406247,0.65321399,0.91663165,0.5793405,0.63913965,0.66530676,0.74399408,0.96436906,0.77117478,0.86127554,0.6081682,0.69081652
0.1,0.74163,0.77475553,0.94366424,0.63608019,0.94897439,0.58803483,1.04201358,0.6632104,0.863107,0.55761143,0.59765648,0.70897852,0.81772296,1.01634287,0.78222428,0.87340122,0.64904156,0.73825789
0.11,0.79754604,0.82359576,1.01808896,0.66625806,0.93307051,0.54912213,0.95706426,0.69837359,1.03475416,0.60643559,0.61768071,0.79267815,0.86067186,1.1853092,0.90517666,0.84924648,0.65700415,0.88375314
0.12,0.8522667,0.84813841,1.05580106,0.68132037,0.95823695,0.58053945,0.92084197,0.66910888,1.12329148,0.68615497,0.61261609,0.87145456,0.87985301,1.22666953,0.84719813,1.01738261,0.67774379,0.80284636
0.13,0.90591433,0.87089573,1.08903103,0.69645341,0.92385978,0.62931495,0.97169392,0.65658053,1.20933478,0.71339994,0.68575527,0.90853902,0.90646306,1.24261244,0.81369553,1.06712899,0.63600424,0.82815775
0.133,0.92181499,0.87417637,1.10502089,0.69155644,0.9150952,0.6455416,1.00102902,0.67258868,1.28053661,0.70008712,0.72579913,0.86639071,0.93094576,1.24603049,0.83809767,1.04961234,0.60301154,0.76370325
0.14,0.95859033,0.89016293,1.13024602,0.70107748,0.88468755,0.7559522,1.01307804,0.67949398,1.24979553,0.64363058,0.75751382,0.84895318,1.08362101,1.23272009,0.8718644,1.14310718,0.57778441,0.72007903
0.15,1.01038,0.92082108,1.12199014,0.75572095,0.96837498,0.7969706,1.13797649,0.75648422,1.21420233,0.77464692,0.66464653,0.93160698,1.07943606,1.03353385,0.95970922,1.14722616,0.60894417,0.81773659
0.16,1.03083016,0.92911008,1.09060323,0.79153033,0.91969943,1.01106237,1.15741399,0.8279429,1.09212346,0.81156145,0.72987365,0.92852214,0.90785506,1.02544174,1.14051785,0.9140714,0.60291822,0.9385374
