
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.00
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, Strike Slip (SS)


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0371, 2.2823, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 2.3404, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 850, 0.0451, 2.6827, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 2.751, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
3, RotD50, 1633, 0.0788, 0.8059, -, 10.8, 29.1, 7.5, "Manjil_ Iran", 1990, "Abbar", 7.37, strike slip, 12.55, 12.55, 723.95, 0.13, 0.8264, RSN1633_MANJIL_ABBAR--L.AT2, RSN1633_MANJIL_ABBAR--T.AT2 , RSN1633_MANJIL_ABBAR--V.AT2  
4, RotD50, 1787, 0.0553, 1.4495, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 1.4864, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
5, RotD50, 2712, 0.0747, 5.0271, -, 4.1, 11.0, 0.1, "Chi-Chi_ Taiwan-04", 1999, "CHY042", 6.2, strike slip, 34.1, 34.13, 665.2, 0.05, 5.1552, RSN2712_CHICHI.04_CHY042N.AT2, RSN2712_CHICHI.04_CHY042E.AT2 , RSN2712_CHICHI.04_CHY042V.AT2  
6, RotD50, 2734, 0.0681, 1.249, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 1.2808, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
7, RotD50, 3752, 0.0556, 3.9225, -, 18.3, 27.3, 0.3, "Landers", 1992, "Forest Falls Post Office", 7.28, strike slip, 45.34, 45.34, 436.14, 0.125, 4.0224, RSN3752_LANDERS_FFP210.AT2, RSN3752_LANDERS_FFP300.AT2 , RSN3752_LANDERS_FFP-UP.AT2  
8, RotD50, 3756, 0.0824, 2.5597, -, 23.0, 32.9, 1.0, "Landers", 1992, "Morongo Valley Hall (GEOS #58)", 7.28, strike slip, 40.67, 40.67, 368.2, 0.05, 2.6249, RSN3756_LANDERS_MVP000.AT2, RSN3756_LANDERS_MVP090.AT2 , RSN3756_LANDERS_MVP-UP.AT2  
9, RotD50, 3759, 0.0532, 3.7969, -, 23.2, 33.4, 0.6, "Landers", 1992, "Whitewater Trout Farm", 7.28, strike slip, 27.05, 27.05, 425.02, 0.375, 3.8936, RSN3759_LANDERS_WWT180.AT2, RSN3759_LANDERS_WWT270.AT2 , RSN3759_LANDERS_WWT-UP.AT2  
10, RotD50, 3943, 0.0336, 2.3323, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 2.3917, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
11, RotD50, 6875, 0.0691, 5.3511, -, 7.9, 16.1, 0.2, "Joshua Tree_ CA    ", 1992, "Morongo Valley Fire Station", 6.1, strike slip, 21.73, 22.3, 396.41, 0.125, 5.4874, RSN6875_JOSHUA_5071045.AT2, RSN6875_JOSHUA_5071135.AT2 , RSN6875_JOSHUA_5071_UP.AT2  
12, RotD50, 6891, 0.0741, 3.7907, -, 15.4, 28.9, 0.4, "Darfield_ New Zealand", 2010, "CSHS", 7.0, strike slip, 43.6, 43.6, 638.39, 0.0375, 3.8873, RSN6891_DARFIELD_CSHSN76W.AT2, RSN6891_DARFIELD_CSHSS14W.AT2 , RSN6891_DARFIELD_CSHSUP.AT2  
13, RotD50, 6948, 0.0317, 3.222, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 3.3041, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  
14, RotD50, 6971, 0.079, 2.4783, -, 16.1, 22.7, 1.0, "Darfield_ New Zealand", 2010, "SPFS", 7.0, strike slip, 29.86, 29.86, 389.54, 0.0375, 2.5414, RSN6971_DARFIELD_SPFSN17E.AT2, RSN6971_DARFIELD_SPFSN73W.AT2 , RSN6971_DARFIELD_SPFSUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-1633 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-2712 RotD50 pSa (g),RSN-2734 RotD50 pSa (g),RSN-3752 RotD50 pSa (g),RSN-3756 RotD50 pSa (g),RSN-3759 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-6875 RotD50 pSa (g),RSN-6891 RotD50 pSa (g),RSN-6948 RotD50 pSa (g),RSN-6971 RotD50 pSa (g)
0.01,0.51107,0.44315024,0.48732095,0.40298316,0.39425464,0.4168565,0.42582781,0.45745699,0.47321107,0.40641474,0.4240012,0.41702448,0.5125483,0.51802205,0.50860758,0.41014599,0.44278796,0.39694409
0.02,0.51701,0.44629305,0.49183532,0.40496784,0.39500391,0.42084107,0.4278724,0.45395693,0.47617722,0.40908002,0.43318024,0.42069668,0.52019783,0.52032824,0.51731708,0.41208988,0.44388698,0.3974742
0.022,0.52038015,0.44902542,0.49319921,0.4088081,0.39483571,0.42141113,0.44416811,0.45576182,0.4766661,0.41057772,0.43371684,0.4262513,0.51740942,0.52203432,0.51599772,0.4146691,0.45285383,0.40000281
0.025,0.52493484,0.45486578,0.50255442,0.41170243,0.39577989,0.42468265,0.48282922,0.46004256,0.47851975,0.40970178,0.43909301,0.42790335,0.53695223,0.52388758,0.5156613,0.41387343,0.46002826,0.39916588
0.029,0.53027307,0.46199745,0.51129739,0.41745108,0.40207944,0.42068359,0.49554419,0.46354812,0.47979227,0.41426457,0.44725181,0.44813727,0.54621391,0.53564032,0.51189896,0.41481391,0.4853616,0.40273438
0.03,0.5315,0.46454186,0.51648836,0.41781994,0.40521118,0.41955607,0.50526063,0.46295355,0.47899808,0.41385552,0.45083697,0.45199274,0.55215448,0.54691424,0.51652994,0.41631201,0.48066875,0.40234182
0.032,0.53676875,0.47427608,0.53619246,0.41950945,0.4150469,0.42001293,0.50360287,0.46357378,0.4776474,0.41868609,0.46063772,0.45438378,0.5767885,0.59366375,0.53844672,0.41943407,0.48856073,0.40937994
0.035,0.54417116,0.47416121,0.54422382,0.41311837,0.42365909,0.42090465,0.45554463,0.46837372,0.47920279,0.41366517,0.44429385,0.46379618,0.60478541,0.61476835,0.54801282,0.41518881,0.47154629,0.41451522
0.036,0.54651923,0.47431167,0.54614836,0.4119239,0.42066496,0.42137036,0.45699937,0.46888756,0.47957379,0.41638178,0.44817438,0.4634222,0.6077367,0.62431076,0.54247768,0.41514446,0.46312203,0.41209739
0.04,0.55539133,0.48087253,0.55490777,0.41671499,0.43377119,0.41533221,0.45344782,0.47709668,0.48179824,0.42011447,0.50468462,0.46038405,0.60695873,0.64925878,0.5281205,0.42079191,0.46290036,0.41755584
0.042,0.55954845,0.48522747,0.55986285,0.42054173,0.43538065,0.41435786,0.46758159,0.4810136,0.5067617,0.42126569,0.51426925,0.45848371,0.60742878,0.64556044,0.5408638,0.42239198,0.46676226,0.4110632
0.044,0.56354113,0.48831782,0.56125763,0.4248571,0.45743205,0.42126251,0.48029544,0.48001969,0.53386592,0.41652966,0.48977992,0.4506005,0.60591079,0.64361739,0.5426227,0.42304967,0.47471578,0.41674742
0.045,0.5654801,0.48889122,0.56380957,0.42392793,0.45013834,0.42341992,0.48305116,0.48336016,0.53692844,0.41682168,0.47099351,0.44933599,0.60918255,0.65071274,0.5427431,0.425453,0.48548791,0.41684853
0.046,0.5673829,0.49290477,0.57188228,0.42483413,0.46216299,0.42377832,0.49594038,0.49325559,0.53349793,0.41678421,0.45946686,0.45020963,0.61446968,0.67009587,0.54389625,0.42899355,0.49363475,0.41448077
0.048,0.57108569,0.50441393,0.58474561,0.43511812,0.49197186,0.42483127,0.54409646,0.5208632,0.51362473,0.41690075,0.47571463,0.45621758,0.62392006,0.66968958,0.5611224,0.43337565,0.51745375,0.41201313
0.05,0.57466,0.51578134,0.59852598,0.44447592,0.51005482,0.43231753,0.58151977,0.54484291,0.49012908,0.42338602,0.50413626,0.46534456,0.63806298,0.67140056,0.55219094,0.43486579,0.55574825,0.41693924
0.055,0.59978443,0.54020791,0.64801828,0.45033388,0.53534158,0.4463495,0.72936944,0.52716277,0.51110413,0.45493084,0.51698989,0.46737545,0.61670868,0.74139224,0.56662865,0.43259703,0.59767137,0.41928916
0.06,0.62367919,0.56171082,0.68808135,0.45854905,0.58285342,0.44143565,0.80691643,0.50870499,0.50780282,0.49186317,0.5193022,0.47835619,0.68254015,0.73283079,0.59616814,0.44862997,0.65166735,0.41488027
0.065,0.64649998,0.59333469,0.73295075,0.48031338,0.6766668,0.47700677,0.9199096,0.55865513,0.50849707,0.51324098,0.54337614,0.4771288,0.69754951,0.66572465,0.66611834,0.46408975,0.67636434,0.46235774
0.067,0.65535657,0.60623655,0.74603471,0.49263493,0.67289304,0.48583195,0.92686862,0.57471214,0.51913093,0.53873081,0.56098619,0.4907133,0.72369659,0.69125808,0.65504484,0.46578572,0.70842329,0.47323623
0.07,0.66837252,0.61566277,0.75737326,0.50046742,0.67019311,0.4789222,0.90257855,0.59381002,0.52618448,0.55192281,0.59372297,0.49033523,0.77701816,0.70853093,0.65023745,0.45642297,0.73953594,0.47986394
0.075,0.6894,0.65757844,0.82777064,0.52237829,0.83938588,0.52773739,0.93778223,0.53516534,0.52235381,0.58664138,0.68797274,0.51186668,0.92369957,0.69692069,0.71880494,0.47551049,0.72091211,0.52134493
0.08,0.71269025,0.68588932,0.88628961,0.53080184,0.82395287,0.5872119,1.16262982,0.53549611,0.52046261,0.62484533,0.64240626,0.54277391,0.91065508,0.74206091,0.75976949,0.53616651,0.66437655,0.54964311
0.085,0.73528429,0.73724708,0.96926943,0.56076592,0.83043295,0.63127475,1.29968419,0.60747438,0.55732647,0.6449093,0.73965988,0.52795818,1.01880293,0.74556777,0.81054575,0.585108,0.740499,0.58221561
0.09,0.75724215,0.77949373,0.98334644,0.61790073,1.01118365,0.64909116,1.16943894,0.64966098,0.61378403,0.69064433,0.81783487,0.5454002,1.04691032,0.80227555,0.8735599,0.62040359,0.79014269,0.63258204
0.095,0.77861567,0.7976236,0.9621188,0.66125243,1.02078908,0.71639289,1.00528833,0.63537435,0.70095728,0.72965528,0.81595325,0.56481807,1.0576429,0.84576286,0.94457818,0.66699027,0.75763234,0.70489527
0.1,0.79945,0.81218732,0.98624421,0.66884878,1.04075927,0.72735616,0.94658678,0.61154364,0.65546186,0.77755098,0.89681318,0.57126835,1.11464363,0.85788107,0.95787665,0.71181691,0.80966225,0.69140169
0.11,0.86191461,0.87858151,1.09357944,0.70585221,1.02331717,0.76592033,1.13483566,0.66509008,0.67742283,0.86934604,0.9439161,0.65416299,1.29995239,0.99272542,0.93138566,0.72054964,0.96922981,0.65228698
0.12,0.92319256,0.91075343,1.14344686,0.72541352,1.0509177,0.73382515,1.23193632,0.75251993,0.67186836,0.95574172,0.96495246,0.69205932,1.34531309,0.92913919,1.11578393,0.74329522,0.88049771,0.68269791
0.13,0.9834028,0.93638201,1.17614008,0.74549901,1.01321556,0.72008505,1.32630173,0.78240003,0.75208157,0.99641298,0.99413623,0.75904163,1.36279801,0.89239622,1.17034179,0.69751862,0.90825722,0.73436148
0.133,1.00127289,0.94252561,1.19056674,0.74616105,1.00360328,0.73764151,1.40439021,0.76779959,0.79599848,0.95018808,1.0209869,0.80933117,1.36654665,0.91915854,1.15113093,0.66133486,0.83756868,0.76967968
0.14,1.04264418,0.96082542,1.22250186,0.75516081,0.9702546,0.74521469,1.37067584,0.70588257,0.83078061,0.931064,1.18842891,0.91715043,1.35194886,0.95619119,1.25366859,0.63366777,0.78972512,0.80690271
0.15,1.101,0.98842379,1.20022528,0.81399852,1.06203629,0.82965143,1.33164006,0.84957082,0.72893119,1.02171208,1.1838392,1.01113256,1.13349732,1.05253236,1.25818596,0.66784129,0.89682813,0.81053441
0.16,1.12477199,0.97442028,1.13674073,0.83527832,1.00865283,0.9080216,1.19775372,0.89005573,0.80046708,1.01832887,0.99566287,0.89480986,1.12462254,1.25082882,1.00248046,0.66123251,1.0293128,0.85965425
