
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-05-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.5
Rrup Min (km):, 0.0
Rrup Max (km):, 50.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 330.0
Vs30 Max (m/sec):, 1030.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, 0.25
Scale Factor Max:, 5.5
Period Array:, 0.010, 0.013, 0.016, 0.020, 0.026, 0.033, 0.042, 0.053, 0.067, 0.085, 0.108, 0.137, 0.174, 0.221, 0.281, 0.356, 0.452, 0.574, 0.728, 0.924, 1.172, 1.487, 1.887, 2.395, 3.039, 3.857, 4.894, 6.210, 7.880, 10.0
Weight Array:, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 14
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, Strike Slip (SS)


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 164, 0.0367, 2.468, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 2.5299, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
2, RotD50, 850, 0.0438, 2.9009, -, 22.6, 31.7, 0.7, "Landers", 1992, "Desert Hot Springs", 7.28, strike slip, 21.78, 21.78, 359.0, 0.07, 2.9737, RSN850_LANDERS_DSP000.AT2, RSN850_LANDERS_DSP090.AT2 , RSN850_LANDERS_DSP-UP.AT2  
3, RotD50, 1633, 0.0845, 0.8715, -, 10.8, 29.1, 7.5, "Manjil_ Iran", 1990, "Abbar", 7.37, strike slip, 12.55, 12.55, 723.95, 0.13, 0.8933, RSN1633_MANJIL_ABBAR--L.AT2, RSN1633_MANJIL_ABBAR--T.AT2 , RSN1633_MANJIL_ABBAR--V.AT2  
4, RotD50, 1787, 0.0556, 1.5674, -, 7.6, 11.7, 1.9, "Hector Mine", 1999, "Hector", 7.13, strike slip, 10.35, 11.66, 726.0, 0.0375, 1.6067, RSN1787_HECTOR_HEC000.AT2, RSN1787_HECTOR_HEC090.AT2 , RSN1787_HECTOR_HECVER.AT2  
5, RotD50, 1794, 0.0868, 3.0221, -, 7.4, 14.6, 0.6, "Hector Mine", 1999, "Joshua Tree", 7.13, strike slip, 31.06, 31.06, 379.32, 0.0169, 3.0979, RSN1794_HECTOR_JOS090.AT2, RSN1794_HECTOR_JOS360.AT2 , RSN1794_HECTOR_JOS-UP.AT2  
6, RotD50, 2734, 0.0622, 1.3506, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 1.3845, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
7, RotD50, 2739, 0.0852, 3.3907, -, 7.0, 11.9, 0.3, "Chi-Chi_ Taiwan-04", 1999, "CHY080", 6.2, strike slip, 12.44, 12.53, 496.21, 0.04, 3.4758, RSN2739_CHICHI.04_CHY080N.AT2, RSN2739_CHICHI.04_CHY080E.AT2 , RSN2739_CHICHI.04_CHY080V.AT2  
8, RotD50, 3752, 0.0603, 4.2416, -, 18.3, 27.3, 0.3, "Landers", 1992, "Forest Falls Post Office", 7.28, strike slip, 45.34, 45.34, 436.14, 0.125, 4.3481, RSN3752_LANDERS_FFP210.AT2, RSN3752_LANDERS_FFP300.AT2 , RSN3752_LANDERS_FFP-UP.AT2  
9, RotD50, 3756, 0.0763, 2.768, -, 23.0, 32.9, 1.0, "Landers", 1992, "Morongo Valley Hall (GEOS #58)", 7.28, strike slip, 40.67, 40.67, 368.2, 0.05, 2.8374, RSN3756_LANDERS_MVP000.AT2, RSN3756_LANDERS_MVP090.AT2 , RSN3756_LANDERS_MVP-UP.AT2  
10, RotD50, 3759, 0.0546, 4.1058, -, 23.2, 33.4, 0.6, "Landers", 1992, "Whitewater Trout Farm", 7.28, strike slip, 27.05, 27.05, 425.02, 0.375, 4.2088, RSN3759_LANDERS_WWT180.AT2, RSN3759_LANDERS_WWT270.AT2 , RSN3759_LANDERS_WWT-UP.AT2  
11, RotD50, 3943, 0.0363, 2.5221, -, 3.7, 9.9, 0.4, "Tottori_ Japan", 2000, "SMN015", 6.61, strike slip, 9.1, 9.12, 616.55, 0.075, 2.5853, RSN3943_TOTTORI_SMN015NS.AT2, RSN3943_TOTTORI_SMN015EW.AT2 , RSN3943_TOTTORI_SMN015UD.AT2  
12, RotD50, 6891, 0.0703, 4.0991, -, 15.4, 28.9, 0.4, "Darfield_ New Zealand", 2010, "CSHS", 7.0, strike slip, 43.6, 43.6, 638.39, 0.0375, 4.202, RSN6891_DARFIELD_CSHSN76W.AT2, RSN6891_DARFIELD_CSHSS14W.AT2 , RSN6891_DARFIELD_CSHSUP.AT2  
13, RotD50, 6948, 0.0343, 3.4841, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 3.5716, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  
14, RotD50, 6971, 0.0728, 2.6799, -, 16.1, 22.7, 1.0, "Darfield_ New Zealand", 2010, "SPFS", 7.0, strike slip, 29.86, 29.86, 389.54, 0.0375, 2.7472, RSN6971_DARFIELD_SPFSN17E.AT2, RSN6971_DARFIELD_SPFSN73W.AT2 , RSN6971_DARFIELD_SPFSUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-164 RotD50 pSa (g),RSN-850 RotD50 pSa (g),RSN-1633 RotD50 pSa (g),RSN-1787 RotD50 pSa (g),RSN-1794 RotD50 pSa (g),RSN-2734 RotD50 pSa (g),RSN-2739 RotD50 pSa (g),RSN-3752 RotD50 pSa (g),RSN-3756 RotD50 pSa (g),RSN-3759 RotD50 pSa (g),RSN-3943 RotD50 pSa (g),RSN-6891 RotD50 pSa (g),RSN-6948 RotD50 pSa (g),RSN-6971 RotD50 pSa (g)
0.01,0.55328,0.46442587,0.50934866,0.42346511,0.42633036,0.45077106,0.46047227,0.49467472,0.44284443,0.43947979,0.41195888,0.45849704,0.45095272,0.55424815,0.56016723,0.4435146,0.47881225,0.42923863
0.02,0.55921,0.46733076,0.51287281,0.42583276,0.4271406,0.45507981,0.4626832,0.49088991,0.44407774,0.44236191,0.41644069,0.46842287,0.45492367,0.56252003,0.56266105,0.44561665,0.48000069,0.42981186
0.022,0.56257821,0.47058135,0.51557974,0.42951031,0.42695871,0.45569625,0.48030469,0.49284164,0.44432586,0.44398146,0.41943738,0.46900312,0.4609302,0.55950476,0.56450593,0.44840571,0.48969706,0.43254619
0.025,0.56712766,0.47684479,0.5279373,0.43069689,0.4279797,0.45923393,0.52211119,0.49747065,0.44576134,0.44303425,0.41891352,0.47481669,0.46271666,0.58063753,0.56650996,0.4475453,0.49745519,0.43164118
0.029,0.57245593,0.48490752,0.54044092,0.43508049,0.43479177,0.45490952,0.53586063,0.50126142,0.4462754,0.44796826,0.4206187,0.48363927,0.48459677,0.59065272,0.57921888,0.44856229,0.5248496,0.4355
0.03,0.57368,0.4876816,0.5459389,0.43564095,0.43817831,0.45369026,0.54636757,0.50061847,0.44639628,0.44752593,0.4249642,0.48751611,0.48876591,0.5970766,0.59141002,0.45018228,0.51977495,0.4350755
0.032,0.57891543,0.49719791,0.56592733,0.43681538,0.44881424,0.45418429,0.54457494,0.50128916,0.44822525,0.45274951,0.4312363,0.49811423,0.49135149,0.6237148,0.64196298,0.45355833,0.528309,0.44268622
0.035,0.58626417,0.49694401,0.57252949,0.43133734,0.4581271,0.45514856,0.49260678,0.50647962,0.45129447,0.44732009,0.43837777,0.48044066,0.50152965,0.65398947,0.66478461,0.4489677,0.5099103,0.4482393
0.036,0.58859358,0.49745969,0.57566354,0.42987983,0.45488938,0.45565216,0.49417988,0.50703526,0.45007083,0.45025772,0.43895893,0.4846369,0.50112525,0.65718088,0.67510337,0.44891974,0.50080066,0.44562476
0.04,0.59738799,0.5055554,0.58895849,0.43396311,0.4690619,0.44912276,0.49033938,0.51591225,0.45112705,0.45429409,0.43879788,0.5457447,0.49783993,0.65633961,0.7020811,0.45502665,0.50056096,0.4515273
0.042,0.60150489,0.50741796,0.59065048,0.4359143,0.4708023,0.44806914,0.50562305,0.52014785,0.4495332,0.45553898,0.44131275,0.55610911,0.49578497,0.6568479,0.69808187,0.4567569,0.50473705,0.44450643
0.044,0.60545666,0.50850278,0.58898673,0.43901681,0.49464775,0.45553554,0.51937127,0.51907308,0.44669456,0.45041764,0.44376524,0.52962738,0.4872604,0.65520642,0.69598074,0.4574681,0.51333765,0.45065311
0.045,0.60737496,0.50899174,0.59140987,0.4380593,0.48676064,0.45786847,0.52235119,0.52268532,0.44746338,0.45073342,0.44460308,0.50931255,0.48589302,0.65874435,0.70365336,0.46006696,0.52498618,0.45076245
0.046,0.60925698,0.51370957,0.60171635,0.43857462,0.49976359,0.45825603,0.53628904,0.53338582,0.45345465,0.4506929,0.44143753,0.49684811,0.48683773,0.66446163,0.72461345,0.46389556,0.53379583,0.44820205
0.048,0.61291789,0.52844662,0.61859155,0.45143815,0.53199765,0.45939464,0.588363,0.56323953,0.45886962,0.45081891,0.46524152,0.51441776,0.49333447,0.67468088,0.72417411,0.46863418,0.55955269,0.44553365
0.05,0.61645,0.54444145,0.63934831,0.46362287,0.55155181,0.46748997,0.628831,0.58917018,0.45830418,0.45783181,0.48257811,0.54515172,0.50320401,0.68997444,0.72602429,0.47024555,0.60096275,0.45086053
0.055,0.64251728,0.56608321,0.69337289,0.46216142,0.57889584,0.48266355,0.78870941,0.57005162,0.45522166,0.49194305,0.45714489,0.5590511,0.50540013,0.6668828,0.80171035,0.46779221,0.64629665,0.45340164
0.06,0.66727617,0.58960641,0.73622739,0.47218526,0.63027314,0.47734992,0.87256546,0.55009215,0.46726012,0.53188011,0.47727135,0.56155153,0.51727424,0.73807018,0.79245236,0.48512956,0.70468562,0.44863405
0.065,0.6908938,0.62038454,0.78098704,0.49280841,0.73171898,0.51581504,0.99475151,0.60410613,0.46374,0.55499718,0.50932319,0.58758408,0.51594699,0.75430067,0.7198866,0.50184711,0.73139191,0.49997419
0.067,0.70005236,0.63504039,0.79874055,0.50489022,0.7276382,0.52535821,1.0022767,0.62146951,0.46422776,0.58256081,0.51822036,0.60662685,0.5306367,0.78257501,0.74749738,0.50368107,0.76605912,0.51173773
0.07,0.71350491,0.6472295,0.81295338,0.5152891,0.7247186,0.5178863,0.97601044,0.64212115,0.4658337,0.59682608,0.5469873,0.64202701,0.53022787,0.84023472,0.76617551,0.49355658,0.79970303,0.51890465
0.075,0.73522,0.69566245,0.88730054,0.54541413,0.90767654,0.57067299,1.01407822,0.57870526,0.48757575,0.63436928,0.6387485,0.74394475,0.55351107,0.99884982,0.75362069,0.51419702,0.77956399,0.56376045
0.08,0.75968303,0.73308296,0.95521192,0.56260879,0.89098793,0.63498622,1.25721894,0.57906294,0.49708805,0.67568143,0.76677685,0.69467108,0.58693285,0.98474406,0.80243342,0.57978788,0.71842882,0.59436091
0.085,0.78340344,0.79087263,1.05213442,0.59448631,0.89799522,0.68263393,1.40542376,0.65689721,0.50651573,0.69737776,0.88366916,0.79983705,0.57091174,1.10169058,0.80622559,0.63271115,0.80074444,0.62958345
0.09,0.80644557,0.82847748,1.0623808,0.64607241,1.09345141,0.70189984,1.26458203,0.70251602,0.52468236,0.7468337,0.88158965,0.88437219,0.58977281,1.13208473,0.86754699,0.67087831,0.85442703,0.68404758
0.095,0.82886498,0.83012735,1.02724071,0.67083733,1.10383833,0.7746771,1.08707647,0.68706707,0.51636378,0.78901849,0.80959989,0.88233748,0.61077048,1.14369049,0.91457234,0.72125519,0.8192717,0.76224406
0.1,0.85071,0.84984432,1.05379751,0.68536447,1.12543324,0.78653232,1.02359909,0.66129754,0.52920097,0.84081089,0.81750359,0.96977601,0.61774553,1.20532868,0.92767647,0.76972883,0.87553466,0.74765267
0.11,0.91934013,0.93437286,1.18768609,0.73508704,1.10657209,0.82823399,1.2271635,0.7192004,0.56048434,0.9400742,0.95957888,1.02071112,0.7073843,1.40571377,1.07349146,0.77917204,1.0480843,0.70535567
0.12,0.98681798,0.94596694,1.21016456,0.73944773,1.13641814,0.79352761,1.33216407,0.81374336,0.5818577,1.03349884,0.80686564,1.04345895,0.7483638,1.45476492,1.004732,0.80376815,0.95213315,0.73824077
0.13,1.05325681,0.97345151,1.24281625,0.76246817,1.09564864,0.77866965,1.43420685,0.84605444,0.60926101,1.07747903,0.92199072,1.07501705,0.82079566,1.47367238,0.9649997,0.75426726,0.98215111,0.79410758
0.133,1.07300037,0.98298483,1.26660075,0.76287589,1.08525432,0.79765447,1.51864844,0.83026614,0.60799688,1.02749338,0.99042941,1.10405224,0.87517664,1.477726,0.99393934,0.71513967,0.9057115,0.8322992
0.14,1.11875094,0.9964689,1.28737531,0.77129821,1.04919246,0.80584378,1.48219114,0.76331168,0.61401233,1.0068134,1.04464178,1.28511698,0.99176786,1.46194057,1.03398488,0.68522164,0.85397549,0.87255061
0.15,1.18338,1.04647005,1.2764844,0.85790282,1.14844132,0.89715012,1.4399795,0.91869011,0.6652656,1.10483642,1.17034174,1.28015385,1.09339617,1.22571626,1.13816418,0.72217545,0.96979217,0.87647778
