component,edp type,location,direction,mean,cov,distribution,unit,description
B1031.001,PID,1,1,"5,4,4,4,4,4,4,4,5",,,ea,Bolted shear tab gravity connections
B1031.001,PID,1,2,"4,4,4,4,4,4,4,4,4",,,ea,
B1031.011a,PID,1,"1,2","1,1,1,1",,,ea,"Steel Column Base Plates, Column W < 150 plf"
B1031.011b,PID,1,"1,2","1,1,1,1",,,ea,"Steel Column Base Plates, Column 150 plf < W < 300 plf"
B1031.021a,PID,3,"1,2","1,1,1,1,1,1,1,1",,,ea,"Welded column splices, Column W < 150 plf"
B1035.001,PID,3,"1,2","1,1,1,1",,,ea,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth <= W27"
B1035.002,PID,"1,2","1,2","1,1,1,1",,,ea,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth >= W27"
B1035.011,PID,3,"1,2","1,1,1,1",,,ea,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth <= W27"
B1035.012,PID,"1,2","1,2","1,1,1,1",,,ea,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth >= W27"
B2011.101,PID,1,1,1566,0.15,lognormal,ft2,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs"
B2011.101,PID,1,2,1024,0.15,lognormal,ft2,
B2011.101,PID,"2,3",1,1357,0.15,lognormal,ft2,
B2011.101,PID,"2,3",2,1288,0.15,lognormal,ft2,
B2022.001,PID,1,1,2634,0.15,lognormal,ft2,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B2022.001,PID,1,2,1976,0.15,lognormal,ft2,
B2022.001,PID,"2,3",1,2283,0.15,lognormal,ft2,
B2022.001,PID,"2,3",2,1712,0.15,lognormal,ft2,
B3011.011,PFA,3,1,3780,0.1,lognormal,ft2,"Concrete tile roof, tiles secured and compliant with UBC94"
C1011.001a,PID,"1,2,3",1,686,0.3,lognormal,ft,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C1011.001a,PID,"1,2,3",2,714,0.3,lognormal,ft,
C2011.001a,PID,"1,2,3",1,1,,,ea,Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift.
C2011.001a,PID,"1,2,3",2,"1,1",,,ea,
C3021.001k,PFA,"0,1,2",1,14000,0.3,lognormal,ft2,Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Dry
C3027.001,PFA,"0,1,2",1,10500,0.15,lognormal,ft2,"Raised Access Floor, non seismically rated."
C3032.001b,PFA,"1,2,3",1,"280,420,700",0.15,lognormal,ft2,"Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only"
C3032.001d,PFA,"1,2,3",1,12600,0.15,lognormal,ft2,
C3034.001,PFA,"0,1,2",1,"210, 210",0.2,lognormal,ea,Independent Pendant Lighting - non seismic
D1014.011.1,PFA,0,1,"1,1",0.1,lognormal,ea,"Traction Elevator \u2013 Applies to most California Installations 1976 or later, most western states installations 1982 or later and most other U.S installations 1998 or later."
D1014.011.2,PFA,0,1,"1,1",0.1,lognormal,ea,
D1014.011.3,PFA,0,1,"1,1",0.1,lognormal,ea,
D1014.011.4,PFA,0,1,"1,1",0.1,lognormal,ea,
D2021.011a,PFA,"1,2,3",1,590,0.1,lognormal,ft,"Cold or Hot Potable  - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC A or B, PIPING FRAGILITY"
D2031.013b,PFA,"0,1,2",1,270,0.1,lognormal,ft,Sanitary waste piping
D3031.012c,PFA,3,1,"1,1",0.1,lognormal,ea,
D3031.021a,PFA,3,1,"1,1",0.1,lognormal,ea,Cooling Tower - Capacity: < 100 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only
D3041.011a,PFA,"1,2,3",1,1050,0.1,lognormal,ft,"HVAC Galvanized Sheet Metal Ducting less than 6 sq. ft in cross sectional area, SDC A or B"
D3041.012a,PFA,"1,2,3",1,280,0.1,lognormal,ft,"HVAC Galvanized Sheet Metal Ducting -  6 sq. ft cross sectional area or greater, SDC A or B"
D3041.031a,PFA,"1,2,3",1,126,0.1,lognormal,ea,"HVAC Drops / Diffusers in suspended ceilings - No independent safety wires, SDC A or B"
D3041.041a,PFA,"1,2,3",1,"70,28",0.1,lognormal,ea,"Variable Air Volume (VAV) box with in-line coil, SDC A or B"
D3041.101a,PFA,3,1,8,0.1,lognormal,ea,HVAC Fan - Capacity: all - Unanchored equipment that is not vibration isolated - Equipment fragility only
D3052.013c,PFA,3,1,8,0.1,lognormal,ea,Air Handling Unit - Capacity: <5000 CFM - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility
D4011.021a,PFA,"1,2,3",1,2800,0.1,lognormal,ft,"Fire Sprinkler Water Piping - Horizontal Mains and Branches - Old Style Victaulic - Thin Wall Steel - No bracing, SDC A or B, PIPING FRAGILITY"
D4011.031a,PFA,"1,2,3",1,1.26,0.1,lognormal,ea,"Fire Sprinkler Drop Standard Threaded Steel - Dropping into unbraced lay-in tile SOFT ceiling - 6 ft. long drop maximum, SDC A or B"
